RPT_REC_NUM,PRVDR_CTRL_TYPE_CD,PRVDR_NUM,RPT_STUS_CD,filed_date,fy_start_date,fy_end_date,source_year,days_in_period,most_recent,acute_beds_0700,icu_beds_0800,extra_0899,coronary_beds_0900,extra_0999,burn_beds_1000,extra_1099,surg_icu_beds_1100,extra_1199,oth_spec_beds_1200,extra_1299,subtotal_acute_beds_1400,subprovider_ipf_beds_1600,subprovider_irf_beds_1700,subprovider_oth_beds_1800,skilled_nursing_beds_1900,nursing_fac_beds_2000,oth_longterm_beds_2100,hospice_beds_2400,all_beds_2700,labor_delivery_beds_3200,acute_bed_days_0700,icu_bed_days_0800,extra_days_0899,coronary_bed_days_0900,extra_days_0999,burn_bed_days_1000,extra_days_1099,oth_spec_bed_days_1100,extra_days_1199,oth_spec_bed_days_1200,extra_days_1299,subtotal_acute_bed_days_1400,subprovider_ipf_bed_days_1600,subprovider_irf_bed_days_1700,subprovider_oth_bed_days_1800,skilled_nursing_bed_days_1900,nursing_fac_bed_days_2000,oth_longterm_bed_days_2100,hospice_bed_days_2400,obs_bed_days_2800,labor_delivery_bed_days_3200,subtotal_acute_utilization,all_beds_utilization
632509,2,503300,2,2017-03-02,2015-10-01,2016-09-30,2016,365,f,260,74,,,,,,,,,,334,,,,,,,,334,,,20628,,,,,,,,,,90074,,,,,,,,3012,,73.0000,
632522,9,141351,5,2018-09-11,2016-03-01,2017-02-28,2016,364,f,20,,,,,,,,,,,20,,,,,,,,20,,,,,,,,,,,,,3516,,,,,,,,209,,48.0000,
632530,10,251319,2,2017-12-01,2016-07-01,2017-06-30,2016,364,f,25,,,,,,,,,,,25,,,,,,,,25,,,,,,,,,,,,,2550,,,,,,,,546,,28.0000,
632538,2,400048,2,2017-06-05,2016-01-01,2016-12-31,2016,365,f,109,6,,,,,,,,,,115,,,,,,,,115,,,1787,,,,,,,,,,23909,,,,,,,,,,56.0000,
632544,4,454101,2,2017-07-06,2016-01-01,2016-12-31,2016,365,f,20,,,,,,,,,,,20,,,,,,,,20,,,,,,,,,,,,,4183,,,,,,,,,,57.0000,
632573,2,154011,2,2017-12-01,2016-07-01,2017-06-30,2016,364,f,16,,,,,,,,,,,16,,,,,,,,16,,,,,,,,,,,,,2281,,,,,,,,,,39.0000,
632589,4,263030,2,2017-05-03,2016-01-01,2016-12-31,2016,365,f,35,,,,,,,,,,,35,,,,,,,,35,,,,,,,,,,,,,8302,,,,,,,,,,64.0000,
632597,10,334015,2,2018-02-16,2016-04-01,2017-03-31,2016,364,f,440,,,,,,,,,,,440,,,,,,,,440,,,,,,,,,,,,,130543,,,,,,,,,,81.0000,
632612,4,400117,2,2017-06-01,2016-01-01,2016-12-31,2016,365,f,128,6,,,,,,,,,,134,,,,,,,,134,,,1911,,,,,,,,,,36117,,,,,,,,,,73.0000,
632622,1,521307,2,2017-05-26,2016-01-01,2016-12-31,2016,365,f,25,,,,,,,,,,,25,,,,,,,,25,,,,,,,,,,,,,1805,,,,,,,,445,,19.0000,
