RPT_REC_NUM,PRVDR_CTRL_TYPE_CD,PRVDR_NUM,RPT_STUS_CD,filed_date,fy_start_date,fy_end_date,source_year,days_in_period,most_recent,acute_beds_0700,icu_beds_0800,extra_0899,coronary_beds_0900,extra_0999,burn_beds_1000,extra_1099,surg_icu_beds_1100,extra_1199,oth_spec_beds_1200,extra_1299,subtotal_acute_beds_1400,subprovider_ipf_beds_1600,subprovider_irf_beds_1700,subprovider_oth_beds_1800,skilled_nursing_beds_1900,nursing_fac_beds_2000,oth_longterm_beds_2100,hospice_beds_2400,all_beds_2700,labor_delivery_beds_3200,acute_bed_days_0700,icu_bed_days_0800,extra_days_0899,coronary_bed_days_0900,extra_days_0999,burn_bed_days_1000,extra_days_1099,oth_spec_bed_days_1100,extra_days_1199,oth_spec_bed_days_1200,extra_days_1299,subtotal_acute_bed_days_1400,subprovider_ipf_bed_days_1600,subprovider_irf_bed_days_1700,subprovider_oth_bed_days_1800,skilled_nursing_bed_days_1900,nursing_fac_bed_days_2000,oth_longterm_bed_days_2100,hospice_bed_days_2400,obs_bed_days_2800,labor_delivery_bed_days_3200,subtotal_acute_utilization,all_beds_utilization
644342,4,400103,2,2017-06-01,2016-01-01,2016-12-31,2016,365,f,161,28,,,,,,,,,,189,,,,,,,,189,,,6890,,,,,,,,,,53538,,,,,,,,,,77.0000,
644354,4,440192,2,2017-11-21,2016-07-01,2017-06-30,2016,364,f,28,4,,,,,,,,,,32,10,,,,,,,42,,,147,,,,,,,,,,1736,3118,,,,,,,335,,14.0000,
644356,1,450042,5,2019-03-04,2016-07-01,2017-06-30,2016,364,f,199,30,,,,,,,,,,229,48,,,,,,,277,,,7367,,,,,,,,,,65338,7040,,,,,,,1186,,78.0000,
644368,2,450537,2,2017-12-01,2016-07-01,2017-06-30,2016,364,f,120,25,20,,,,,,,,,165,51,,,,,,,216,10,,6524,3366,,,,,,,,,40483,14507,,,,,,,5705,,67.0000,
644399,4,100047,2,2018-01-04,2015-10-01,2016-09-30,2016,365,f,114,10,,,,,,,,,,124,52,,,,,,,176,,,2095,,,,,,,,,,17716,14803,,,,,,,1166,,39.0000,
644403,4,130018,2,2017-02-27,2015-10-01,2016-09-30,2016,365,f,176,35,26,,,,,,,,,237,28,15,,16,,29,,325,4,,5893,5821,,,,,,,,,47038,6418,3455,,4997,,5452,,2293,,54.0000,
644404,1,140258,1,2017-12-01,2016-07-01,2017-06-30,2016,364,f,221,36,,,,,,,,,,257,24,72,,,,,,353,,,9702,,,,,,,,,,79188,5466,21457,,,,,,2920,,84.0000,
644405,2,260113,1,2017-03-01,2015-10-01,2016-09-30,2016,365,f,109,12,,,,,,,,,,121,12,11,,,,,,144,,,1996,,,,,,,,,,14007,3908,2258,,,,,,1416,,31.0000,
644439,4,100183,2,2018-03-02,2016-01-01,2016-12-31,2016,365,f,229,16,,,,,,,,,,245,,,,,,,,245,,,5130,,,,,,,,,,35272,,,,,,,,5919,,39.0000,
644496,2,200008,2,2018-04-09,2015-10-01,2016-09-30,2016,365,f,96,7,,,,,,,,,,103,,,,,,,,103,,,1390,,,,,,,,,,19422,,,,,,,114,895,,51.0000,
644497,2,204006,2,2018-02-28,2016-09-25,2017-09-30,2016,370,f,68,,,,,,,,,,,68,,,,,,,,68,,,,,,,,,,,,,24249,,,,,,,,,,96.0000,
644498,4,223026,4,2018-01-16,2016-01-01,2016-12-31,2016,365,f,210,,,,,,,,,,,210,,,,,,,,210,,,,,,,,,,,,,37434,,,,,,,,,,48.0000,
644506,10,244012,2,2017-11-20,2016-07-01,2017-06-30,2016,364,f,16,,,,,,,,,,,16,,,,,,,,16,,,,,,,,,,,,,3419,,,,,,,,,,58.0000,
644528,1,360039,2,2017-05-31,2016-01-01,2016-12-31,2016,365,f,237,24,,24,,,,,,,,285,,,,,,,7,292,,,3856,,5874,,,,,,,,60991,,,,,,,2093,11899,,58.0000,
644554,4,370220,2,2017-05-31,2016-01-01,2016-12-31,2016,365,f,8,,,,,,,,,,,8,,,,,,,,8,,,,,,,,,,,,,510,,,,,,,,13,,17.0000,
644555,2,390012,1,2017-12-04,2016-07-01,2017-06-30,2016,364,f,126,14,,,,,,,,,,140,,,,,,,,140,,,3007,,,,,,,,,,17369,,859,,,,,,2507,,34.0000,
644557,4,400032,2,2017-05-30,2016-01-01,2016-12-31,2016,365,f,232,13,,8,,,,,,,,253,,,,,,,,253,,,4706,,968,,,,,,,,46855,,,,,,,,,,50.0000,
644584,2,450867,5,2019-03-04,2016-07-01,2017-06-30,2016,364,f,77,16,,,,,,,,13,,106,,,,,,,,106,,,1801,,,,,,,,918,,18065,,,,,,,,977,,46.0000,
644601,2,220015,2,2017-02-28,2015-10-01,2016-09-30,2016,365,f,107,11,,,,,,,,,,118,22,,,,,,,140,,,1867,,,,,,,,,,24132,6317,,,,,,,2411,,56.0000,
644603,1,330011,5,2018-10-05,2016-07-01,2017-06-30,2016,364,f,138,10,,,,,,,,,,148,,,,,,,6,154,,,3476,,,,,,,,,,41461,,,,,,,342,,,76.0000,
644605,2,330065,1,2017-06-05,2016-01-01,2016-12-31,2016,365,f,121,12,,,,,,,,,,133,,,,,,,,133,,,2284,,,,,,,,,,23976,,,,,,,,,,49.0000,
644606,12,330080,5,2018-04-06,2016-07-01,2017-06-30,2016,364,f,229,38,,,,,,,,20,,287,60,,,,,,,347,8,,11929,,,,,,,,4293,,93121,17398,,,,,,,,,89.0000,
644614,12,330199,5,2018-04-06,2016-07-01,2017-06-30,2016,364,f,158,24,,,,,,,,14,,196,122,20,,,,,,338,6,,4940,,,,,,,,1659,,36561,40432,3078,,,,,,,,51.0000,
644616,12,330204,5,2018-04-06,2016-07-01,2017-06-30,2016,364,f,445,45,,12,,,,,,25,,527,339,46,,,,,,912,13,,12200,,5591,,,,,,6193,,120901,93492,8740,,,,,,,,63.0000,
644618,10,330234,5,2017-11-22,2016-01-01,2016-12-31,2016,365,f,550,66,18,15,,10,,,,49,,708,141,36,,,,,,885,,,6927,3276,824,,2031,,,,18188,,188002,38985,5009,,,,,,109,,72.0000,
644620,10,330241,5,2018-06-28,2016-01-01,2016-12-31,2016,365,f,547,65,15,8,,6,,,,,,641,24,50,,20,,,,735,,,22897,3251,2924,,1779,,,,,,151284,6551,12487,,5666,,,,9473,,64.0000,
644621,12,330385,5,2018-04-06,2016-07-01,2017-06-30,2016,364,f,98,20,,,,,,,,12,,130,70,,,,,,,200,8,,4051,,,,,,,,1281,,26857,16287,,,,,,,,,56.0000,
644625,5,30136,2,2017-06-28,2016-01-01,2016-12-31,2016,365,f,9,,,,,,,,,,,9,,,,,,,,9,,,,,,,,,,,,,949,,,,,,,,521,,28.0000,
639207,11,100086,1,2018-11-30,2017-07-01,2018-06-30,2017,364,f,251,29,,8,16,,,,,,,304,,30,,,,,,334,,,7490,,2620,3916,,,,,,,69515,,6352,,,,,,10928,,62.0000,
639217,2,103300,1,2018-12-03,2017-07-01,2018-06-30,2017,364,f,112,28,,22,,,,,,97,,259,,,,,,,,259,,,4254,,5583,,,,,,24442,,55668,,,,,,,,2267,,59.0000,
639305,4,231321,1,2018-12-03,2017-07-01,2018-06-30,2017,364,f,21,,,4,,,,,,,,25,,,,,,,,25,,,,,,,,,,,,,2870,,,,,,,,163,,31.0000,
658771,4,420026,1,2018-03-01,2016-10-01,2017-09-30,2017,364,f,273,18,,32,,,,9,,,,332,,,,,,,,332,,,3604,,9348,,,,925,,,,45523,,,,,,,,2451,,37.0000,
659842,2,360179,1,2019-11-22,2018-07-01,2019-06-30,2018,364,t,327,38,,,,,,,,,,365,,,,,,,,365,12,,8069,,,,,,,,,,105699,,,,,,,,5845,,79.0000,
659843,1,360348,1,2019-11-22,2018-07-01,2019-06-30,2018,364,t,102,,,,,,,,,,,102,,,,,,,,102,9,,,,,,,,,,,,21155,,,,,,,,5249,,56.0000,
659858,2,370106,1,2019-11-26,2018-07-01,2019-06-30,2018,364,t,165,20,,,,,,,,,,185,,67,,,,,,252,,,5824,,,,,,,,,,52555,,16958,,,,,,2444,,78.0000,
659881,2,390225,1,2019-11-26,2018-07-01,2019-06-30,2018,364,t,91,19,5,,,,,,,,,115,18,8,,,,,,141,,,3686,998,,,,,,,,,22347,6121,1723,,,,,,2469,,53.0000,
659882,2,390267,1,2019-12-02,2018-07-01,2019-06-30,2018,364,t,166,56,8,,,,,,4,,,234,37,20,,,,,,291,24,,10605,2149,,,,,,647,,,60762,8508,6241,,,,,,12099,,71.0000,
659886,2,391309,1,2019-11-26,2018-07-01,2019-06-30,2018,364,t,21,4,,,,,,,,,,25,,,,58,,,,83,,,33,,,,,,,,,,2781,,,,19300,,,,48,,30.0000,
659889,10,394004,1,2019-11-25,2018-07-01,2019-06-30,2018,364,t,161,,,,,,,,,,,161,,,,,,,,161,,,,,,,,,,,,,56569,,,,,,,,,,96.0000,
659922,2,100084,1,2019-11-26,2018-07-01,2019-06-30,2018,364,t,262,46,,,,,,,,,,308,21,,,,,,,329,,,10862,,,,,,,,,,67813,2500,,,,,,,10612,,60.0000,
659927,10,104007,1,2019-11-25,2018-07-01,2019-06-30,2018,364,t,60,,,,,,,,,,,60,,,,,,1078,,1138,,,,,,,,,,,,,21684,,,,,,184528,,,,99.0000,
659934,13,110042,1,2019-11-27,2018-07-01,2019-06-30,2018,364,t,104,8,,,,,,,,,,112,,,,182,,,,294,,,2270,,,,,,,,,,28236,,,,61971,,,,3084,,69.0000,
659936,2,110054,1,2019-11-27,2018-07-01,2019-06-30,2018,364,t,201,26,,,,,,,,,,227,53,19,,,,,,299,5,,7662,,,,,,,,,,69725,9670,6046,,,,,,17783,,84.0000,
659938,2,110104,1,2019-11-27,2018-07-01,2019-06-30,2018,364,t,49,16,,,,,,,,,,65,,,,143,,,,208,8,,3720,,,,,,,,,,12780,,,,23882,,,,503,,54.0000,
659944,10,114029,1,2019-11-25,2018-07-01,2019-06-30,2018,364,t,110,,,,,,,,,,,110,,,,,,,,110,,,,,,,,,,,,,29125,,,,,,,,,,72.0000,
644630,4,60014,5,2018-08-09,2016-09-01,2017-08-31,2016,364,f,211,79,42,,,,,,,,,332,,,,,,,,332,,,17518,9502,,,,,,,,,79574,,,,,,,,2292,,65.0000,
644689,5,670049,1,2017-05-31,2016-01-01,2016-12-31,2016,365,f,24,,,,,,,,,,,24,,,,,,,,24,,,,,,,,,,,,,3233,,,,,,,,761,,36.0000,
644696,8,10126,2,2017-06-01,2016-01-01,2016-12-31,2016,365,f,88,9,,,,,,,,,,97,,,,,,,,97,,,735,,,,,,,,,,6993,,,,,,,,1231,,19.0000,
644725,9,161337,2,2017-11-30,2016-07-01,2017-06-30,2016,364,f,25,,,,,,,,,,,25,,,,,,,,25,,,,,,,,,,,,,1383,,,,,,,,245,,15.0000,
644755,9,250084,1,2017-03-01,2015-10-01,2016-09-30,2016,365,f,132,15,,,,,,,,,,147,12,20,,,,,,179,,,1496,,,,,,,,,,15094,1568,2639,,,,,,707,,28.0000,
644757,2,250104,5,2017-05-24,2015-10-01,2016-09-30,2016,365,f,227,17,,12,,,,,,,,256,,,,,,,,256,,,3500,,2915,,,,,,,,45059,,,,,,,,1740,,48.0000,
644884,9,110032,1,2017-03-01,2015-10-01,2016-09-30,2016,365,f,73,14,,,,,,,,,,87,,,,,,,,87,9,,754,,,,,,,,,,8553,,,,,,,,2583,,26.0000,
644775,4,390162,5,2019-02-21,2016-07-01,2017-04-30,2016,303,f,135,16,,5,,,,,,,,156,16,10,,,,,,182,6,,1669,,434,,,,,,,,20884,4285,1647,,,,,,1501,,44.0000,
644796,2,491308,2,2017-09-01,2016-05-01,2017-03-31,2016,334,f,20,5,,,,,,,,,,25,10,,,,,,,35,,,528,,,,,,,,,,4034,1644,,,,,,,491,,48.0000,
644797,4,500037,2,2017-11-30,2016-07-01,2017-06-30,2016,364,f,29,7,,,,,,,,,,36,,,,,,,,36,,,127,,,,,,,,,,3177,,,,,,,,419,,24.0000,
644808,2,340014,5,2018-08-29,2016-01-01,2016-12-31,2016,365,f,689,68,60,24,,,,,,,,841,12,68,,,,,,921,24,,17519,16422,7046,,,,,,,,230214,3913,11362,,,,,,12685,,74.0000,
644810,2,490024,5,2018-08-01,2015-10-01,2016-09-30,2016,365,f,483,36,80,24,,,,11,,,,634,51,34,,,,,,719,24,,12138,14047,7950,,,,3810,,,,180244,16362,8561,,,,,,7618,,77.0000,
644815,9,40069,2,2017-06-05,2016-01-01,2016-12-31,2016,365,f,136,12,,,,,,,,,,148,,,,,,,,148,,,559,,,,,,,,,,5044,,,,,,,,741,,9.0000,
644823,2,50782,2,2018-02-02,2016-04-01,2017-03-31,2016,364,f,31,,,,,,,,,,,31,,68,,,,,,99,,,532,,,,,,,,,,4778,,22022,,,,,,,,42.0000,
644832,9,130025,2,2016-12-29,2015-10-01,2016-09-30,2016,365,f,51,4,14,,,,,,,,,69,,,,,,,,69,,,423,1142,,,,,,,,,9192,,,,,,,,526,,36.0000,
644835,10,144037,2,2017-11-27,2016-07-01,2017-06-30,2016,364,f,429,,,,,,,,,,,429,,,,,,,,429,,,,,,,,,,,,,137855,,,,,,,,,,88.0000,
644837,11,191305,2,2017-08-31,2016-04-01,2017-03-31,2016,364,f,25,,,,,,,,,,,25,,,,,,,,25,,,,,,,,,,,,,2810,,,,,,,,617,,30.0000,
644838,4,193079,2,2017-06-01,2016-01-01,2016-12-31,2016,365,f,20,,,,,,,,,,,20,,,,,,,,20,,,,,,,,,,,,,7312,,,,,,,,,,100.0000,
644841,10,244011,2,2017-11-20,2016-07-01,2017-06-30,2016,364,f,16,,,,,,,,,,,16,,,,,,,,16,,,,,,,,,,,,,3480,,,,,,,,,,59.0000,
644842,1,250048,5,2019-02-05,2016-01-01,2016-12-31,2016,365,f,442,56,20,,,,,,,,,518,26,,,,,,,544,,,17154,3350,,,,,,,,,124088,5096,,,,,,,13722,,65.0000,
644857,1,390204,2,2017-12-01,2016-07-01,2017-06-30,2016,364,f,108,17,,1,,,,,,,,126,,20,,28,,,,174,,,1890,,174,,,,,,,,29219,,1832,,6512,,,,702,,63.0000,
644872,9,10001,1,2017-03-03,2015-10-01,2016-09-30,2016,365,f,339,32,,,,,,,,16,,387,,,,,,,,387,,,9619,,,,,,,,1618,,97665,,,,,,,,3477,,69.0000,
644876,13,10061,1,2017-02-28,2015-10-01,2016-09-30,2016,365,f,160,10,,,,,,,,,,170,,,,50,,,,220,,,1960,,,,,,,,,,11635,,,,17105,,,,2043,,18.0000,
644877,9,10073,1,2017-04-04,2015-10-01,2016-09-30,2016,365,f,42,4,,,,,,,,,,46,,,,83,,,10,139,,,630,,,,,,,,,,6194,,,,27437,,,2032,150,,36.0000,
644878,1,10089,5,2018-10-29,2016-01-01,2016-12-31,2016,365,f,207,12,,,,,,,,,,219,40,,,,,,,259,8,,2995,,,,,,,,,,24231,12762,,,,,,,1045,,30.0000,
639323,11,281309,1,2018-12-03,2017-07-01,2018-06-30,2017,364,f,18,,,,,,,,,,,18,,,,,,,,18,,,,,,,,,,,,,436,,,,,,,,187,,6.0000,
639327,1,281342,1,2018-11-30,2017-07-01,2018-06-30,2017,364,f,18,,,,,,,,,,,18,,,,,,,,18,,,,,,,,,,,,,1338,,,,,,,,202,,20.0000,
639329,9,281349,1,2018-12-03,2017-07-01,2018-06-30,2017,364,f,21,,,,,,,,,,,21,,,,,,,,21,,,,,,,,,,,,,2382,,,,,,,,231,,31.0000,
639330,11,321305,1,2018-12-12,2017-07-01,2018-06-30,2017,364,f,25,,,,,,,,,,,25,,,,,,,,25,,,,,,,,,,,,,1809,,,,,,,,976,,19.0000,
639353,2,393308,1,2018-12-04,2017-07-01,2018-06-30,2017,364,t,62,,,,,,,,,,,62,,,,,,,,62,,,,,,,,,,,,,4474,,,,,,,,,,19.0000,
639354,2,400004,1,2018-12-03,2017-07-01,2018-06-30,2017,364,f,115,11,,,,,,,,,,126,,,,,,,,126,,,965,,,,,,,,,,20517,,,,,,,,,,44.0000,
662280,2,460010,5,2019-07-17,2017-01-01,2017-12-31,2017,364,f,340,24,,24,,,,12,,24,60,484,,24,,,,,,508,17,,6899,,3198,,,,3338,,3710,16903,121726,,6957,,,,,,4937,,69.0000,
662307,2,40114,1,2018-05-24,2017-01-01,2017-12-31,2017,364,f,507,36,,18,175,,,18,,,,754,16,,,44,,,,814,,,10925,,5602,23527,,,5839,,,,154713,4753,,,5512,,,,12847,,56.0000,
659948,1,140233,5,2019-11-15,2017-10-01,2018-09-30,2018,364,t,210,38,,,,,,,,,,248,,,,,,,,248,,,8317,,,,,,,,,,51556,,,,,,,,3852,,57.0000,
659950,2,143301,1,2019-11-25,2018-07-01,2019-06-30,2018,364,t,49,,,,,,,,,,,49,,,,,,,,49,,,,,,,,,,,,,9994,,,,,,,,86,,56.0000,
659954,2,190006,1,2019-11-26,2018-07-01,2019-06-30,2018,364,t,42,10,,,,,,,,,,52,,,,,,,,52,,,1583,,,,,,,,,,10940,,,,,,,,1817,,57.0000,
659956,1,190027,1,2019-11-26,2018-07-01,2019-06-30,2018,364,t,83,17,,,,,,,,,,100,25,23,,,,,,148,,,4559,,,,,,,,,,27705,7289,5051,,,,,,3296,,76.0000,
659967,1,210004,1,2019-12-02,2018-07-01,2019-06-30,2018,364,t,349,46,,,,,,,,46,,441,,,,,,,,441,30,,13950,,,,,,,,14986,,132136,,,,,,,,,,82.0000,
659974,2,213301,1,2019-12-02,2018-07-01,2019-06-30,2018,364,t,50,,,,,,,,,,,50,,,,,,,,50,,,,,,,,,,,,,14177,,,,,,,,,,77.0000,
659976,2,240036,1,2019-11-25,2018-07-01,2019-06-30,2018,364,t,385,42,,,,,,,,30,,457,,20,,,,,,477,,,10459,,,,,,,,7670,,118689,,5513,,,,,32923,4798,,71.0000,
661035,1,280130,1,2019-12-02,2018-07-01,2019-06-30,2018,364,t,92,16,,,,,,,,,,108,,,,,,,,108,,,2827,,,,,,,,,,23144,,,,,,,,1247,,58.0000,
661037,11,281313,1,2019-12-02,2018-07-01,2019-06-30,2018,364,t,12,,,,,,,,,,,12,,,,,,,,12,,,,,,,,,,,,,960,,,,,,,,305,,21.0000,
661155,1,140053,1,2019-11-27,2018-07-01,2019-06-30,2018,364,t,281,45,,,,,,,,43,,369,,,,,,,,369,,,12067,,,,,,,,13374,,98788,,,,,,,,2886,,73.0000,
661172,2,154052,1,2019-12-02,2018-07-01,2019-06-30,2018,364,t,16,,,,,,,,,,,16,,,,,,,,16,,,,,,,,,,,,,2666,,,,,,,,,,45.0000,
661208,2,260047,1,2019-12-02,2018-07-01,2019-06-30,2018,364,t,88,12,,,,,,,,,,100,,14,,,,,,114,,,2156,,,,,,,,,,18742,,2886,,,,,,1829,,51.0000,
661212,9,261305,1,2019-12-02,2018-07-01,2019-06-30,2018,364,t,15,,,,,,,,,,,15,,,,,,,,15,,,,,,,,,,,,,1561,,,,,,,,205,,28.0000,
644880,1,10103,5,2018-10-29,2016-01-01,2016-12-31,2016,365,f,215,12,,12,,,,21,,12,,272,30,,,,,,,302,6,,4147,,3434,,,,6643,,1943,,71782,9888,,,,,,,3789,,72.0000,
644887,9,110044,1,2018-01-02,2016-08-01,2017-07-31,2016,364,f,44,,,10,,,,,,,,54,,,,,,,,54,,,,,1135,,,,,,,,11582,,,,,,,,1356,,58.0000,
644888,9,110087,1,2017-12-05,2016-07-01,2017-06-30,2016,364,f,394,44,,,,,,,,24,,462,,30,,89,,,,581,19,,11106,,,,,,,,10862,,147322,,9015,,30173,,,,3793,,87.0000,
644895,4,440068,5,2017-04-20,2015-10-01,2016-09-30,2016,365,f,155,7,,,,,,,,,,162,14,,,13,75,,,264,,,1062,,,,,,,,,,8872,3771,,,3245,21446,,,1764,,15.0000,
644900,2,340027,1,2017-02-27,2015-10-01,2016-09-30,2016,365,f,136,,,14,,,,,,,,150,,17,,,,,,167,,,,,3058,,,,,,,,24769,,1864,,,,,,2347,,45.0000,
644903,9,340131,1,2017-02-28,2015-10-01,2016-09-30,2016,365,f,206,72,,,,,,,,,,278,,20,,,,,,298,,,19527,,,,,,,,,,63909,,2832,,,,,,3760,,62.0000,
644906,8,420053,1,2017-11-20,2016-07-01,2017-06-30,2016,364,f,41,7,,,,,,,,,,48,,,,,,,,48,,,677,,,,,,,,,,7158,,,,,,,,590,,40.0000,
644909,2,420106,1,2017-03-01,2015-10-01,2016-09-30,2016,365,f,70,13,,,,,,,,,,83,,,,,,,,83,,,3964,,,,,,,,,,17750,,,,,,,,,,58.0000,
644911,9,340147,5,2018-06-04,2016-07-01,2017-06-30,2016,364,f,292,21,,,,,,,,9,,322,,23,,,,,,345,,,4250,,,,,,,,1574,,58816,,6662,,,,,,4684,,50.0000,
644913,2,420018,5,2018-08-22,2015-10-01,2016-09-30,2016,365,f,425,42,,91,,,,,,65,18,641,51,,,,,,,692,,,11935,,24831,,,,,,22083,2646,169063,13007,,,,,,,,,72.0000,
644914,2,420027,5,2017-12-21,2016-01-01,2016-12-31,2016,365,f,319,25,,15,,,,,,,,359,28,,,,,,,387,,,7038,,3374,,,,,,,,81289,7433,,,,,,,10537,,62.0000,
644918,2,50014,1,2017-05-22,2016-01-01,2016-12-31,2016,365,f,46,6,,,,,,,,,,52,,,,,,,,52,,,1604,,,,,,,,,,9160,,,,,,,,536,,48.0000,
644921,2,50055,1,2017-05-19,2016-01-01,2016-12-31,2016,365,f,134,15,,,,,,,,,,149,,,,79,,,,228,,,1863,,,,,,,,,,18550,,,,18968,,,,427,,34.0000,
644930,9,50113,1,2017-12-01,2016-07-01,2017-06-30,2016,364,f,62,7,,,,,,,,,,69,34,,,312,,,,415,,,1355,,,,,,,,,,12679,10447,,,106614,,,,463,,50.0000,
644937,4,50281,5,2018-08-08,2016-07-01,2017-06-30,2016,364,f,88,13,,,,,,,,,,101,,17,,26,,,,144,,,2344,,,,,,,,,,19822,,4143,,9428,,,,,,53.0000,
645547,4,153042,2,2017-05-24,2016-01-01,2016-12-31,2016,365,f,40,,,,,,,,,,,40,,,,,,,,40,,,,,,,,,,,,,8080,,,,,,,,,,55.0000,
644954,2,50537,1,2017-05-22,2016-01-01,2016-12-31,2016,365,f,42,6,,,,,,,,,,48,,,,,,,,48,,,1222,,,,,,,,,,12472,,,,,,,,508,,71.0000,
644958,2,50690,1,2017-06-01,2016-01-01,2016-12-31,2016,365,f,142,20,11,,,,,,,,,173,,,,,,,,173,,,2239,,,,,,,,,,36224,,,,,,,,3743,,57.0000,
644964,4,50744,1,2018-01-31,2016-09-01,2017-08-31,2016,364,f,81,22,,,,,,,,,,103,80,,,,,,,183,,,2295,,,,,,,,,,19953,23715,,,,,,,406,,53.0000,
644966,2,50760,1,2017-06-01,2016-01-01,2016-12-31,2016,365,f,116,16,,,,,,,,,,132,,,,,,,,132,8,,1922,,,,,,,,,,25950,,,,,,,,4596,,53.0000,
644985,2,142010,2,2017-11-06,2016-06-01,2017-05-31,2016,364,f,168,,,,,,,,,,,168,,,,,,,,168,,,,,,,,,,,,,49573,,,,,,,,,,81.0000,
645010,2,351309,2,2017-11-10,2016-07-01,2017-06-30,2016,364,f,25,,,,,,,,,,,25,,,,,,,,25,,,,,,,,,,,,,1006,,,,,,,,62,,11.0000,
645012,4,370030,2,2017-09-18,2016-04-01,2016-09-02,2016,154,f,34,,,,,,,,,,,34,,,,,,,,34,,,,,,,,,,,,,256,,,,,,,,14,,4.0000,
645029,9,340141,1,2017-03-01,2015-10-01,2016-09-30,2016,365,f,514,33,,30,,,,,,49,,626,62,57,,,,,,745,,,9139,,6945,,,,,,14793,,177984,15729,12696,,,,,,6082,,77.0000,
659988,2,271341,1,2019-11-25,2018-07-01,2019-06-30,2018,364,t,22,,,,,,,,,,,22,,,,60,,,,82,,,,,,,,,,,,,1281,,,,17219,,,,307,,15.0000,
659989,1,280020,1,2019-12-02,2018-07-01,2019-06-30,2018,364,t,176,16,,,,16,,,,27,,235,,,,,,,,235,,,3055,,,,4341,,,,1997,,32107,,,,,,,,2406,,37.0000,
659993,2,320030,1,2019-11-26,2018-07-01,2019-06-30,2018,364,t,34,,,,,,,,,,,34,15,,,,,,,49,,,,,,,,,,,,,2224,244,,,,,,,264,,17.0000,
660004,12,371321,1,2019-12-03,2018-07-01,2019-06-30,2018,364,t,25,,,,,,,,,,,25,,,,,,,,25,,,,,,,,,,,,,2705,,,,,,,,133,,29.0000,
660005,8,371325,1,2019-12-03,2018-07-01,2019-06-30,2018,364,t,14,,,,,,,,,,,14,,,,,,,,14,,,,,,,,,,,,,993,,,,,,,,117,,19.0000,
660008,13,380009,1,2019-11-22,2018-07-01,2019-06-30,2018,364,t,417,79,66,,,,,,,,,562,,,,,,,,562,,,23006,18787,,,,,,,,,177454,,,,,,,,2078,,86.0000,
660022,2,391316,1,2019-12-04,2018-07-01,2019-06-30,2018,364,t,19,6,,,,,,,,,,25,,,,,,,,25,,,1045,,,,,,,,,,6000,,,,,,,,1070,,65.0000,
660033,2,431310,1,2019-11-26,2018-07-01,2019-06-30,2018,364,t,18,,,,,,,,,,,18,,,,,,,,18,,,,,,,,,,,,,496,,,,,,,,103,,7.0000,
660044,2,441304,1,2019-11-22,2018-07-01,2019-06-30,2018,364,t,2,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,65,,,,,,,,17,,8.0000,
660049,1,450011,1,2019-12-03,2018-07-01,2019-06-30,2018,364,t,189,20,,,,,,,,,,209,,,,,,,,209,,,5407,,,,,,,,,,60425,,,,,,,,8348,,79.0000,
660521,1,140258,1,2019-11-27,2018-07-01,2019-06-30,2018,364,t,221,36,,,,,,,,,,257,25,72,,,,,16,370,,,9308,,,,,,,,,,74451,5572,21291,,,,,33967,8883,,79.0000,
660557,2,180020,1,2019-11-27,2018-07-01,2019-06-30,2018,364,t,39,7,,,,,,,,,,46,,,,,,,,46,,,1256,,,,,,,,,,8075,,,,,,,,1884,,48.0000,
660559,2,180050,1,2019-11-27,2018-07-01,2019-06-30,2018,364,t,74,7,,,,,,,,,,81,30,,,,,,,111,,,1407,,,,,,,,,,13090,5881,,,,,,,3715,,44.0000,
594731,3,514011,2,2017-03-06,2015-10-01,2016-09-30,2016,365,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660570,2,181330,1,2019-11-22,2018-07-01,2019-06-30,2018,364,t,23,2,,,,,,,,,,25,,,,,,,,25,,,95,,,,,,,,,,2953,,,,,,,,484,,32.0000,
660588,2,230093,1,2019-11-25,2018-07-01,2019-06-30,2018,364,t,45,4,,,,,,,,,,49,,,,,,,,49,,,725,,,,,,,,,,7242,,,,,,,,876,,40.0000,
660600,2,231319,1,2019-11-26,2018-07-01,2019-06-30,2018,364,t,20,5,,,,,,,,,,25,,,,,,,,25,,,682,,,,,,,,,,3693,,,,,,,,336,,40.0000,
594813,2,201315,1,2017-03-01,2015-10-01,2016-09-30,2016,365,f,21,4,,,,,,,,,,25,,,,,,,,25,,,414,,,,,,,,,,4935,,,,,,,,631,,54.0000,
594859,9,251337,1,2017-02-28,2015-10-01,2016-09-30,2016,365,f,25,,,,,,,,,,,25,10,,,40,,,,75,,,,,,,,,,,,,3870,1514,,,14234,,,,253,,42.0000,
594949,9,111333,1,2017-03-03,2015-10-01,2016-09-30,2016,365,f,21,4,,,,,,,,,,25,,,,,,,,25,,,269,,,,,,,,,,2344,,,,,,,,844,,25.0000,
612041,10,191321,1,2017-12-01,2016-07-01,2017-06-30,2016,364,f,20,4,,,,,,,,,,24,,,,,,,,24,,,184,,,,,,,,,,2415,,,,,,,,356,,27.0000,
637003,11,500003,5,2017-07-26,2016-01-01,2016-12-31,2016,365,f,125,,,12,,,,,,,,137,,,,,,,,137,,,,,2630,,,,,,,,32829,,,,,,,,2861,,65.0000,
