zip,count,rate_10k,date
97002,30,53.4,2020-08-05
97003,155,59.9,2020-08-05
97004,14,31.9,2020-08-05
97005,176,70.7,2020-08-05
97006,231,36.6,2020-08-05
97007,163,24.3,2020-08-05
97008,124,42.8,2020-08-05
97009,35,45.1,2020-08-05
97013,175,77.1,2020-08-05
97014,-1,-1,2020-08-05
97015,88,45.1,2020-08-05
97016,11,18.1,2020-08-05
97017,-1,-1,2020-08-05
97018,-1,-1,2020-08-05
97019,32,101.2,2020-08-05
97021,0,0,2020-08-05
97022,-1,-1,2020-08-05
97023,24,24.4,2020-08-05
97024,169,165,2020-08-05
97026,82,214.9,2020-08-05
97027,40,33,2020-08-05
97030,296,80.7,2020-08-05
97031,132,71.8,2020-08-05
97032,82,162.6,2020-08-05
97034,48,25.4,2020-08-05
97035,69,28.9,2020-08-05
97038,64,42.3,2020-08-05
97040,-1,-1,2020-08-05
97041,21,74.5,2020-08-05
97042,14,47.9,2020-08-05
97045,196,38.2,2020-08-05
97048,19,28.4,2020-08-05
97049,-1,-1,2020-08-05
97051,18,11.3,2020-08-05
97053,-1,-1,2020-08-05
97054,0,0,2020-08-05
97055,47,27.1,2020-08-05
97056,20,17.4,2020-08-05
97058,150,75.6,2020-08-05
97060,167,78.7,2020-08-05
97062,185,67.4,2020-08-05
97063,-1,-1,2020-08-05
97064,-1,-1,2020-08-05
97067,-1,-1,2020-08-05
97068,60,21.2,2020-08-05
97070,90,42.9,2020-08-05
97071,548,190.3,2020-08-05
97078,175,81.7,2020-08-05
97080,321,78.5,2020-08-05
97086,117,45,2020-08-05
97089,42,35,2020-08-05
97101,10,26.4,2020-08-05
97103,37,21.9,2020-08-05
97106,-1,-1,2020-08-05
97107,0,0,2020-08-05
97110,-1,-1,2020-08-05
97111,11,34.9,2020-08-05
97112,0,0,2020-08-05
97113,207,146.2,2020-08-05
97114,26,54.6,2020-08-05
97115,19,45.9,2020-08-05
97116,203,84.2,2020-08-05
97119,10,22.6,2020-08-05
97121,-1,-1,2020-08-05
97123,381,85.5,2020-08-05
97124,238,49.2,2020-08-05
97127,17,45.5,2020-08-05
97128,171,47.3,2020-08-05
97131,-1,-1,2020-08-05
97132,114,40.3,2020-08-05
97133,-1,-1,2020-08-05
97136,-1,-1,2020-08-05
97137,-1,-1,2020-08-05
97138,15,15,2020-08-05
97140,64,27.3,2020-08-05
97141,19,14.5,2020-08-05
97146,18,30.5,2020-08-05
97148,-1,-1,2020-08-05
97201,44,28.4,2020-08-05
97202,85,21.9,2020-08-05
