zipcode,name,rg_name,rg_abbrev,area,totpop_cy,tothh_cy,medhinc_cy,avghinc_cy,pci_cy,meddi_cy,avgdi_cy,white_cy,black_cy,amerind_cy,asian_cy,pacific_cy,othrace_cy,race2up_cy,hispwht_cy,hispblk_cy,hispai_cy,hispasn_cy,hisppi_cy,hispoth_cy,hispmlt_cy,nhspwht_cy,nhspblk_cy,nhspai_cy,nhspasn_cy,nhsppi_cy,nhspoth_cy,nhspmlt_cy,oha_count,oha_count_lw,new_min,new_max,or_rate,date,jf_rate_tot,jf_rate_new_min,jf_rate_new_max
97049,Rhododendron,Oregon,OR,91.586390963306101,2251,996,72083,93565,41403,54683,67816,2073,4,25,23,3,36,87,73,0,1,1,0,35,10,2000,4,24,22,3,1,77,0,-1,0,0,0,2020-07-22,0,0,0
97054,Deer Island,Oregon,OR,42.361906657183717,1644,634,71903,85076,32809,54076,63551,1539,4,15,12,2,12,60,21,0,0,0,0,10,9,1518,4,15,12,2,2,51,0,-1,0,0,0,2020-07-22,0,0,0
97040,Mosier,Oregon,OR,58.486696193265985,1411,603,59364,78331,33489,48164,59034,1244,11,16,15,9,83,33,187,7,1,0,3,83,9,1057,4,15,15,6,0,24,-1,-1,0,8,-1,2020-07-22,-1,0,56.6973777462792
97053,Warren,Oregon,OR,13.289957368539488,3343,1324,70596,84042,33286,54229,63809,3084,20,34,38,10,49,108,61,5,3,4,0,44,14,3023,15,31,34,10,5,94,-1,-1,0,8,-1,2020-07-22,-1,0,23.9306012563566
97036,Marylhurst,Oregon,OR,0.075266918614127,174,60,79337,127214,44035,61596,85807,162,2,1,6,2,0,1,3,0,0,0,0,0,0,159,2,1,6,2,0,1,,,,,,,-2,-2,-2
97058,The Dalles,Oregon,OR,336.440385431870709,21206,8377,51778,68194,26987,40984,51552,17913,181,291,310,188,1684,639,2648,26,53,1,0,1667,219,15265,155,238,309,188,17,420,114,103,11,11,57.5,2020-07-22,53.7583702725644,5.18721116665095,5.18721116665095
97060,Troutdale,Oregon,OR,17.339777557284943,22075,7515,70029,88235,30049,53560,64932,17120,515,252,1181,113,1863,1031,1389,25,102,5,7,1826,269,15731,490,150,1176,106,37,762,124,97,27,27,58.4,2020-07-22,56.1721404303511,12.2310305775764,12.2310305775764
97057,Shaniko,Oregon,OR,128.418582534346115,47,24,52143,60538,31085,39638,47332,44,0,1,0,0,0,2,1,0,0,0,0,0,0,43,0,1,0,0,0,2,,,,,,,-2,-2,-2
97063,Tygh Valley,Oregon,OR,160.339533519498389,1066,500,43224,51598,24227,35527,41259,1000,2,13,2,0,25,24,43,0,1,0,0,25,3,957,2,12,2,0,0,21,-1,-1,0,8,-1,2020-07-22,-1,0,75.046904315197
97067,Welches,Oregon,OR,27.898779226017854,2046,901,79013,97307,42859,57500,69878,1836,3,37,15,0,86,69,90,0,14,2,0,84,4,1746,3,23,13,0,2,65,0,-1,0,0,0,2020-07-22,0,0,0
97064,Vernonia,Oregon,OR,195.955939643437034,3732,1441,56671,65228,25187,45218,50846,3491,25,48,27,4,22,115,124,0,7,2,0,15,19,3367,25,41,25,4,7,96,-1,-1,0,8,-1,2020-07-22,-1,0,21.4362272240086
97065,Wasco,Oregon,OR,255.219690204088664,845,360,46564,73054,31124,37364,53968,761,3,25,1,1,34,20,27,2,6,0,0,31,13,734,1,19,1,1,3,7,,,,,,,-2,-2,-2
97108,Beaver,Oregon,OR,145.877927689339657,461,210,54495,68208,31071,43290,51297,429,1,3,2,0,13,13,22,0,1,0,0,13,3,407,1,2,2,0,0,10,,,,,,,-2,-2,-2
97109,Buxton,Oregon,OR,38.272674070897807,531,182,101696,108583,37231,75000,81422,488,2,4,3,0,16,18,10,0,1,0,0,15,2,478,2,3,3,0,1,16,,,,,,,-2,-2,-2
97117,Gales Creek,Oregon,OR,47.731706169819347,621,225,82374,94060,34080,61734,71236,569,2,3,9,0,21,17,19,0,1,0,0,21,4,550,2,2,9,0,0,13,,,,,,,-2,-2,-2
97103,Astoria,Oregon,OR,239.295466811066291,18266,7660,56160,72678,30722,44978,55036,16214,189,227,336,43,616,641,785,23,47,11,2,589,108,15429,166,180,325,41,27,533,30,28,2,2,17.8,2020-07-22,16.4239570787255,1.09493047191503,1.09493047191503
97113,Cornelius,Oregon,OR,33.713388292618880,15182,4402,62923,77857,22590,50833,59059,10042,178,171,375,16,3774,626,2716,73,89,8,2,3766,297,7326,105,82,367,14,8,329,174,156,18,18,122.9,2020-07-22,114.609405875379,11.856145435384,11.856145435384
97114,Dayton,Oregon,OR,55.896375759412315,5447,1810,67395,85643,28463,52917,63659,4381,25,58,55,1,740,187,662,6,14,3,0,730,78,3719,19,44,52,1,10,109,17,16,1,1,35.7,2020-07-22,31.2098402790527,1.83587295759133,1.83587295759133
97115,Dundee,Oregon,OR,14.470045502422890,4642,1663,85187,105603,37838,62965,76185,4177,29,50,80,7,159,140,301,0,19,7,0,153,22,3876,29,31,73,7,6,118,17,11,6,6,41.07,2020-07-22,36.622145626885,12.92546316243,12.92546316243
97107,Bay City,Oregon,OR,24.394411053747799,1587,669,57057,69630,29358,46513,53877,1445,0,17,15,1,58,51,58,0,2,0,0,54,11,1387,0,15,15,1,4,40,0,-1,0,0,0,2020-07-22,0,0,0
97112,Cloverdale,Oregon,OR,98.249057943429193,2263,941,51011,64635,26877,39240,48732,2048,13,29,23,0,69,81,98,0,1,0,0,69,8,1950,13,28,23,0,0,73,0,-1,0,0,0,2020-07-22,0,0,0
