zip,count,rate_10k,date
97002,-1,-1,2020-05-19
97003,26,10.0,2020-05-19
97004,-1,-1,2020-05-19
97005,33,13.2,2020-05-19
97006,48,7.6,2020-05-19
97007,46,6.9,2020-05-19
97008,16,5.5,2020-05-19
97009,-1,-1,2020-05-19
97013,29,12.8,2020-05-19
97014,-1,-1,2020-05-19
97015,18,9.2,2020-05-19
97016,0,0.0,2020-05-19
97017,-1,-1,2020-05-19
97018,0,0.0,2020-05-19
97019,-1,-1,2020-05-19
97021,0,0.0,2020-05-19
97022,0,0.0,2020-05-19
97023,-1,-1,2020-05-19
97024,31,30.3,2020-05-19
97026,43,112.7,2020-05-19
97027,-1,-1,2020-05-19
97030,84,22.9,2020-05-19
97031,-1,-1,2020-05-19
97032,21,41.6,2020-05-19
97034,-1,-1,2020-05-19
97035,-1,-1,2020-05-19
97038,32,21.2,2020-05-19
97040,0,0.0,2020-05-19
97041,-1,-1,2020-05-19
97042,-1,-1,2020-05-19
97045,23,4.5,2020-05-19
97048,-1,-1,2020-05-19
97049,0,0.0,2020-05-19
97051,-1,-1,2020-05-19
97053,-1,-1,2020-05-19
97054,0,0.0,2020-05-19
97055,16,9.2,2020-05-19
97056,-1,-1,2020-05-19
97058,17,8.6,2020-05-19
97060,38,17.9,2020-05-19
97062,24,8.7,2020-05-19
97063,0,0.0,2020-05-19
97064,-1,-1,2020-05-19
97067,0,0.0,2020-05-19
97068,10,3.5,2020-05-19
97070,16,7.6,2020-05-19
97071,193,67.0,2020-05-19
97078,36,16.8,2020-05-19
97080,66,16.1,2020-05-19
97086,29,11.1,2020-05-19
97089,-1,-1,2020-05-19
97101,-1,-1,2020-05-19
97103,19,11.3,2020-05-19
97106,-1,-1,2020-05-19
97107,0,0.0,2020-05-19
97110,0,0.0,2020-05-19
97111,0,0.0,2020-05-19
97112,0,0.0,2020-05-19
97113,46,32.5,2020-05-19
97114,-1,-1,2020-05-19
97115,-1,-1,2020-05-19
97116,67,27.8,2020-05-19
97119,-1,-1,2020-05-19
97121,-1,-1,2020-05-19
97123,95,21.3,2020-05-19
97124,46,9.5,2020-05-19
97127,-1,-1,2020-05-19
97128,16,4.4,2020-05-19
97131,-1,-1,2020-05-19
97132,28,9.9,2020-05-19
97133,-1,-1,2020-05-19
97136,0,0.0,2020-05-19
97137,-1,-1,2020-05-19
97138,-1,-1,2020-05-19
97140,16,6.8,2020-05-19
