zip,count,rate_10k,date
97487,-1,-1,2020-05-05
97488,0,0.00,2020-05-05
97495,-1,-1,2020-05-05
97496,-1,-1,2020-05-05
97497,0,0.00,2020-05-05
97498,0,0.00,2020-05-05
97499,0,0.00,2020-05-05
97501,-1,-1,2020-05-05
97502,13,4.69,2020-05-05
97503,-1,-1,2020-05-05
97504,12,2.70,2020-05-05
97520,10,4.09,2020-05-05
97523,-1,-1,2020-05-05
97524,-1,-1,2020-05-05
97525,0,0.00,2020-05-05
97526,12,3.51,2020-05-05
97527,-1,-1,2020-05-05
97530,0,0.00,2020-05-05
97532,0,0.00,2020-05-05
97535,0,0.00,2020-05-05
97537,0,0.00,2020-05-05
97538,0,0.00,2020-05-05
97539,0,0.00,2020-05-05
97540,-1,-1,2020-05-05
97541,0,0.00,2020-05-05
97544,0,0.00,2020-05-05
97601,14,6.23,2020-05-05
97603,18,6.10,2020-05-05
97623,0,0.00,2020-05-05
97624,-1,-1,2020-05-05
97630,0,0.00,2020-05-05
97632,-1,-1,2020-05-05
97633,-1,-1,2020-05-05
97641,0,0.00,2020-05-05
97701,31,5.25,2020-05-05
97702,24,5.91,2020-05-05
97703,10,3.01,2020-05-05
97707,-1,-1,2020-05-05
97720,-1,-1,2020-05-05
97734,-1,-1,2020-05-05
97738,0,0.00,2020-05-05
97739,0,0.00,2020-05-05
97741,-1,-1,2020-05-05
97753,0,0.00,2020-05-05
97754,-1,-1,2020-05-05
97756,-1,-1,2020-05-05
97759,0,0.00,2020-05-05
97760,-1,-1,2020-05-05
97761,10,25.08,2020-05-05
97801,-1,-1,2020-05-05
97813,-1,-1,2020-05-05
97814,0,0.00,2020-05-05
97818,-1,-1,2020-05-05
97820,0,0.00,2020-05-05
97824,0,0.00,2020-05-05
97826,0,0.00,2020-05-05
97827,0,0.00,2020-05-05
97828,0,0.00,2020-05-05
97836,-1,-1,2020-05-05
97838,33,13.02,2020-05-05
97844,0,0.00,2020-05-05
97845,-1,-1,2020-05-05
97846,0,0.00,2020-05-05
97850,-1,-1,2020-05-05
97862,-1,-1,2020-05-05
97865,0,0.00,2020-05-05
97868,0,0.00,2020-05-05
97869,0,0.00,2020-05-05
97875,-1,-1,2020-05-05
97882,16,20.62,2020-05-05
97883,0,0.00,2020-05-05
97885,0,0.00,2020-05-05
97886,-1,-1,2020-05-05
97913,-1,-1,2020-05-05
97914,-1,-1,2020-05-05
97918,-1,-1,2020-05-05
