zip,count,rate_10k,date
97488,-1,-1,2020-07-15
97495,-1,-1,2020-07-15
97496,-1,-1,2020-07-15
97497,-1,-1,2020-07-15
97498,-1,-1,2020-07-15
97499,-1,-1,2020-07-15
97501,44,10.4,2020-07-15
97502,31,11.2,2020-07-15
97503,26,24.7,2020-07-15
97504,36,8.1,2020-07-15
97520,11,4.5,2020-07-15
97523,-1,-1,2020-07-15
97524,12,8.3,2020-07-15
97525,-1,-1,2020-07-15
97526,24,7,2020-07-15
97527,14,4.2,2020-07-15
97530,-1,-1,2020-07-15
97532,-1,-1,2020-07-15
97535,-1,-1,2020-07-15
97537,-1,-1,2020-07-15
97538,-1,-1,2020-07-15
97539,-1,-1,2020-07-15
97540,-1,-1,2020-07-15
97541,-1,-1,2020-07-15
97544,-1,-1,2020-07-15
97601,51,22.7,2020-07-15
97603,50,16.9,2020-07-15
97623,-1,-1,2020-07-15
97624,-1,-1,2020-07-15
97630,21,41.2,2020-07-15
97632,-1,-1,2020-07-15
97633,-1,-1,2020-07-15
97641,-1,-1,2020-07-15
97701,70,11.9,2020-07-15
97702,79,19.5,2020-07-15
97703,43,13,2020-07-15
97707,-1,-1,2020-07-15
97708,-1,-1,2020-07-15
97720,-1,-1,2020-07-15
97734,11,39.5,2020-07-15
97738,-1,-1,2020-07-15
97739,-1,-1,2020-07-15
97741,56,47,2020-07-15
97753,-1,-1,2020-07-15
97754,18,9.7,2020-07-15
97756,51,15.2,2020-07-15
97759,-1,-1,2020-07-15
97760,11,16.3,2020-07-15
97761,98,245.8,2020-07-15
97801,145,67.4,2020-07-15
97813,-1,-1,2020-07-15
97814,10,8.1,2020-07-15
97818,83,200,2020-07-15
97820,-1,-1,2020-07-15
97824,-1,-1,2020-07-15
97826,-1,-1,2020-07-15
97827,10,38.1,2020-07-15
97828,-1,-1,2020-07-15
97836,-1,-1,2020-07-15
97838,629,248.2,2020-07-15
97844,60,157.6,2020-07-15
97845,-1,-1,2020-07-15
97846,-1,-1,2020-07-15
97850,316,186.4,2020-07-15
97862,18,15.4,2020-07-15
97865,-1,-1,2020-07-15
97868,10,50.2,2020-07-15
97869,-1,-1,2020-07-15
97875,44,168.6,2020-07-15
97882,163,210.1,2020-07-15
97883,-1,-1,2020-07-15
97885,-1,-1,2020-07-15
97886,-1,-1,2020-07-15
97913,56,101.3,2020-07-15
97914,307,159.9,2020-07-15
97918,30,66.1,2020-07-15
