zip,count,rate_10k,date
97002,-1,-1,2020-06-03
97003,35,13.5,2020-06-03
97004,-1,-1,2020-06-03
97005,35,14.1,2020-06-03
97006,53,8.4,2020-06-03
97007,52,7.8,2020-06-03
97008,18,6.2,2020-06-03
97009,-1,-1,2020-06-03
97013,35,15.4,2020-06-03
97014,-1,-1,2020-06-03
97015,18,9.2,2020-06-03
97016,0,0.0,2020-06-03
97017,-1,-1,2020-06-03
97018,0,0.0,2020-06-03
97019,-1,-1,2020-06-03
97021,0,0.0,2020-06-03
97022,0,0.0,2020-06-03
97023,-1,-1,2020-06-03
97024,72,70.3,2020-06-03
97026,47,123.2,2020-06-03
97027,-1,-1,2020-06-03
97030,86,23.4,2020-06-03
97031,12,6.5,2020-06-03
97032,26,51.6,2020-06-03
97034,-1,-1,2020-06-03
97035,-1,-1,2020-06-03
97038,32,21.2,2020-06-03
97040,0,0.0,2020-06-03
97041,-1,-1,2020-06-03
97042,-1,-1,2020-06-03
97045,26,5.1,2020-06-03
97048,-1,-1,2020-06-03
97049,0,0.0,2020-06-03
97051,-1,-1,2020-06-03
97053,-1,-1,2020-06-03
97054,0,0.0,2020-06-03
97055,16,9.2,2020-06-03
97056,-1,-1,2020-06-03
97058,23,11.6,2020-06-03
97060,40,18.8,2020-06-03
97062,34,12.4,2020-06-03
97063,0,0.0,2020-06-03
97064,-1,-1,2020-06-03
97067,0,0.0,2020-06-03
97068,11,3.9,2020-06-03
97070,22,10.5,2020-06-03
97071,212,73.6,2020-06-03
97078,40,18.7,2020-06-03
97080,81,19.8,2020-06-03
97086,29,11.1,2020-06-03
97089,-1,-1,2020-06-03
97101,-1,-1,2020-06-03
97103,23,13.6,2020-06-03
97106,-1,-1,2020-06-03
97107,0,0.0,2020-06-03
97110,0,0.0,2020-06-03
97111,0,0.0,2020-06-03
97112,0,0.0,2020-06-03
97113,60,42.4,2020-06-03
97114,-1,-1,2020-06-03
97115,-1,-1,2020-06-03
97116,87,36.1,2020-06-03
97119,-1,-1,2020-06-03
97121,-1,-1,2020-06-03
97123,113,25.4,2020-06-03
97124,54,11.2,2020-06-03
97127,-1,-1,2020-06-03
97128,22,6.1,2020-06-03
