zipcode,name,rg_name,rg_abbrev,area,totpop_cy,tothh_cy,medhinc_cy,avghinc_cy,pci_cy,meddi_cy,avgdi_cy,white_cy,black_cy,amerind_cy,asian_cy,pacific_cy,othrace_cy,race2up_cy,hispwht_cy,hispblk_cy,hispai_cy,hispasn_cy,hisppi_cy,hispoth_cy,hispmlt_cy,nhspwht_cy,nhspblk_cy,nhspai_cy,nhspasn_cy,nhsppi_cy,nhspoth_cy,nhspmlt_cy,oha_count,oha_count_lw,new_min,new_max,or_rate,date,jf_rate_tot,jf_rate_new_min,jf_rate_new_max
97213,Portland,Oregon,OR,3.977527849559414,31570,13990,73860,97886,43390,55660,69866,25145,1288,259,2620,76,699,1483,970,64,47,27,3,631,223,24175,1224,212,2593,73,68,1260,35,34,1,1,12,2020-05-27,11.0864745011086,0.31675641431739,0.31675641431739
97458,Myrtle Point,Oregon,OR,527.055225251447837,4774,1972,42761,59350,24532,35487,45935,4320,17,123,11,6,49,248,157,1,8,0,0,44,41,4163,16,115,11,6,5,207,0,0,0,0,0,2020-05-27,0,0,0
97013,Canby,Oregon,OR,60.312639046204922,25353,9071,76479,95407,34144,57116,70133,20908,151,293,346,39,2801,815,1539,68,82,1,10,2782,244,19369,83,211,345,29,19,571,30,29,1,1,13.2,2020-05-27,11.832919181162,0.394430639372066,0.394430639372066
97009,Boring,Oregon,OR,29.869339806856598,8151,3007,85309,110061,40604,63195,78755,7197,33,79,218,6,372,246,273,6,18,0,0,359,46,6924,27,61,218,6,13,200,-1,-1,0,8,-1,2020-05-27,-1,0,9.81474665685192
97014,Cascade Locks,Oregon,OR,82.715591748935921,1327,516,42854,56308,21895,35202,43663,1144,11,27,16,10,41,78,75,1,4,0,0,40,12,1069,10,23,16,10,1,66,-1,-1,0,8,-1,2020-05-27,-1,0,60.2863602110023
97266,Portland,Oregon,OR,6.225348384620949,36872,12761,46821,59400,20581,37714,45986,22078,2081,448,6794,316,3200,1955,1993,92,119,23,14,3117,479,20085,1989,329,6771,302,83,1476,41,35,6,6,12.3,2020-05-27,11.1195487090475,1.62725103059232,1.62725103059232
97016,Clatskanie,Oregon,OR,276.987220381070983,6258,2514,57303,71212,28613,45825,54616,5700,45,92,50,15,97,259,172,3,6,1,0,90,35,5528,42,86,49,15,7,224,0,0,0,0,0,2020-05-27,0,0,0
97017,Colton,Oregon,OR,77.563229115613581,2988,1043,88141,111416,38891,64840,79596,2845,12,20,12,1,22,76,74,0,2,0,0,20,14,2771,12,18,12,1,2,62,-1,-1,0,8,-1,2020-05-27,-1,0,26.7737617135207
97495,Winchester,Oregon,OR,3.449429166701602,1585,696,43619,55431,24342,35803,43795,1445,7,15,29,2,33,54,68,2,0,0,1,29,6,1377,5,15,29,1,4,48,-1,-1,0,8,-1,2020-05-27,-1,0,50.4731861198738
97603,Klamath Falls,Oregon,OR,350.172343989017520,31146,12576,44512,60300,24361,36708,45998,26036,286,1082,334,44,1869,1495,1952,35,224,1,4,1844,406,24084,251,858,333,40,25,1089,18,18,0,0,6.1,2020-05-27,5.77923328838374,0,0
97030,Gresham,Oregon,OR,7.212376326953261,40367,15671,52440,65948,25631,41479,50810,30456,1232,588,1806,216,3933,2136,3206,89,276,24,9,3879,577,27250,1143,312,1782,207,54,1559,85,84,1,1,23.2,2020-05-27,21.0568038249065,0.247727103822429,0.247727103822429
97032,Hubbard,Oregon,OR,18.924852683548718,5433,1714,61752,75449,23803,50030,56871,3977,26,104,71,8,1057,190,613,6,52,6,1,1051,63,3364,20,52,65,7,6,127,24,21,3,3,47.6,2020-05-27,44.1744892324682,5.52181115405853,5.52181115405853
97031,Hood River,Oregon,OR,199.283132569596091,19663,7254,63475,87320,32235,50968,63854,16270,123,169,310,30,2130,631,3826,42,50,9,7,2108,234,12444,81,119,301,23,22,397,-1,-1,0,8,-1,2020-05-27,-1,0,4.06855515435081
97034,Lake Oswego,Oregon,OR,7.813991113573012,20264,8448,142163,187285,78087,102010,116970,18323,116,88,854,28,170,685,522,3,12,15,0,148,125,17801,113,76,839,28,22,560,-1,-1,0,8,-1,2020-05-27,-1,0,3.94788787998421
97478,Springfield,Oregon,OR,218.436515341610232,40114,15035,55845,71155,26676,44575,53867,34741,348,567,515,92,1856,1995,2036,35,77,20,2,1815,464,32705,313,490,495,90,41,1531,-1,-1,0,8,-1,2020-05-27,-1,0,1.99431619883332
97479,Sutherlin,Oregon,OR,161.509165303762387,10112,4198,48659,60836,25272,38969,47659,9249,46,206,58,13,204,336,475,5,29,1,0,188,46,8774,41,177,57,13,16,290,-1,-1,0,8,-1,2020-05-27,-1,0,7.91139240506329
97111,Carlton,Oregon,OR,39.647267267531937,3554,1257,72753,83982,29703,56327,64889,3230,9,31,33,11,97,143,141,0,4,0,3,90,15,3089,9,27,33,8,7,128,0,0,0,0,0,2020-05-27,0,0,0
97112,Cloverdale,Oregon,OR,98.249057943429193,2263,941,51011,64635,26877,39240,48732,2048,13,29,23,0,69,81,98,0,1,0,0,69,8,1950,13,28,23,0,0,73,0,0,0,0,0,2020-05-27,0,0,0
97101,Amity,Oregon,OR,52.603381921542429,4017,1406,65422,85107,29793,51907,63409,3497,29,88,34,5,201,163,199,3,14,1,1,194,30,3298,26,74,33,4,7,133,-1,-1,0,8,-1,2020-05-27,-1,0,19.915359721185
97106,Banks,Oregon,OR,46.851412515844181,5269,1755,104265,122255,40723,77199,87547,4857,23,36,66,6,97,184,203,1,8,2,0,87,28,4654,22,28,64,6,10,156,-1,-1,0,8,-1,2020-05-27,-1,0,15.1831467071551
97114,Dayton,Oregon,OR,55.896375759412315,5447,1810,67395,85643,28463,52917,63659,4381,25,58,55,1,740,187,662,6,14,3,0,730,78,3719,19,44,52,1,10,109,-1,-1,0,8,-1,2020-05-27,-1,0,14.6869836607307
97115,Dundee,Oregon,OR,14.470045502422890,4642,1663,85187,105603,37838,62965,76185,4177,29,50,80,7,159,140,301,0,19,7,0,153,22,3876,29,31,73,7,6,118,-1,-1,0,8,-1,2020-05-27,-1,0,17.23395088324
97123,Hillsboro,Oregon,OR,56.012021662494789,49610,16128,78935,94656,30808,57906,69290,34614,846,570,4119,240,6661,2560,6617,99,313,60,16,6587,819,27997,747,257,4059,224,74,1741,102,95,7,7,22.9,2020-05-27,20.5603708929651,1.41100584559565,1.41100584559565
97124,Hillsboro,Oregon,OR,44.737308228109455,54765,21236,88896,106155,41170,64989,76733,39192,1165,443,6747,199,4291,2728,4814,94,157,67,28,4213,678,34378,1071,286,6680,171,78,2050,53,46,7,7,11,2020-05-27,9.67771386834657,1.27818862412125,1.27818862412125
97040,Mosier,Oregon,OR,58.486696193265985,1411,603,59364,78331,33489,48164,59034,1244,11,16,15,9,83,33,187,7,1,0,3,83,9,1057,4,15,15,6,0,24,0,0,0,0,0,2020-05-27,0,0,0
97049,Rhododendron,Oregon,OR,91.586390963306101,2251,996,72083,93565,41403,54683,67816,2073,4,25,23,3,36,87,73,0,1,1,0,35,10,2000,4,24,22,3,1,77,0,0,0,0,0,2020-05-27,0,0,0
97054,Deer Island,Oregon,OR,42.361906657183717,1644,634,71903,85076,32809,54076,63551,1539,4,15,12,2,12,60,21,0,0,0,0,10,9,1518,4,15,12,2,2,51,0,0,0,0,0,2020-05-27,0,0,0
97041,Mount Hood Parkdale,Oregon,OR,258.725457412620017,3231,1059,73821,95200,31301,55370,69731,2312,23,61,41,9,697,88,523,2,27,2,2,696,22,1789,21,34,39,7,1,66,-1,-1,0,8,-1,2020-05-27,-1,0,24.760136180749
97042,Mulino,Oregon,OR,24.326835855245129,2837,1047,91742,106376,39259,67885,78590,2665,10,26,28,1,21,86,66,0,2,1,0,20,11,2599,10,24,27,1,1,75,-1,-1,0,8,-1,2020-05-27,-1,0,28.1988015509341
97048,Rainier,Oregon,OR,86.667023050874903,6928,2745,55360,68300,27062,43611,52419,6366,34,103,45,11,100,269,115,0,9,2,0,99,51,6251,34,94,43,11,1,218,-1,-1,0,8,-1,2020-05-27,-1,0,11.5473441108545
97119,Gaston,Oregon,OR,132.957504975450860,4342,1555,86088,115500,41367,64894,82123,3984,21,32,70,2,112,121,168,1,3,0,1,109,29,3816,20,29,70,1,3,92,-1,-1,0,8,-1,2020-05-27,-1,0,18.4246890833717
97121,Hammond,Oregon,OR,9.577274302802685,1678,655,54015,63287,24710,42707,49065,1506,10,20,27,20,41,54,56,0,2,1,0,40,8,1450,10,18,26,20,1,46,-1,-1,0,8,-1,2020-05-27,-1,0,47.6758045292014
