zip,count,rate_10k,date
97002,-1,-1,2020-06-10
97003,37,14.3,2020-06-10
97004,-1,-1,2020-06-10
97005,37,14.9,2020-06-10
97006,54,8.6,2020-06-10
97007,56,8.4,2020-06-10
97008,18,6.2,2020-06-10
97009,-1,-1,2020-06-10
97013,64,28.2,2020-06-10
97014,-1,-1,2020-06-10
97015,20,10.2,2020-06-10
97016,0,0.0,2020-06-10
97017,-1,-1,2020-06-10
97018,0,0.0,2020-06-10
97019,-1,-1,2020-06-10
97021,0,0.0,2020-06-10
97022,0,0.0,2020-06-10
97023,-1,-1,2020-06-10
97024,89,86.9,2020-06-10
97026,47,123.2,2020-06-10
97027,11,9.1,2020-06-10
97030,91,24.8,2020-06-10
97031,51,27.8,2020-06-10
97032,27,53.5,2020-06-10
97034,-1,-1,2020-06-10
97035,-1,-1,2020-06-10
97038,34,22.5,2020-06-10
97040,-1,-1,2020-06-10
97041,-1,-1,2020-06-10
97042,-1,-1,2020-06-10
97045,36,7.0,2020-06-10
97048,-1,-1,2020-06-10
97049,0,0.0,2020-06-10
97051,-1,-1,2020-06-10
97053,-1,-1,2020-06-10
97054,0,0.0,2020-06-10
97055,19,11.0,2020-06-10
97056,-1,-1,2020-06-10
97058,32,16.1,2020-06-10
97060,43,20.3,2020-06-10
97062,37,13.5,2020-06-10
97063,0,0.0,2020-06-10
97064,-1,-1,2020-06-10
97067,0,0.0,2020-06-10
97068,11,3.9,2020-06-10
97070,21,10.0,2020-06-10
97071,219,76.0,2020-06-10
97080,84,20.5,2020-06-10
97086,32,12.3,2020-06-10
97089,-1,-1,2020-06-10
97101,-1,-1,2020-06-10
97103,23,13.6,2020-06-10
97106,-1,-1,2020-06-10
97107,0,0.0,2020-06-10
97110,0,0.0,2020-06-10
97111,0,0.0,2020-06-10
97112,0,0.0,2020-06-10
97113,72,50.9,2020-06-10
97114,-1,-1,2020-06-10
97115,-1,-1,2020-06-10
97116,92,38.2,2020-06-10
97119,-1,-1,2020-06-10
97121,-1,-1,2020-06-10
97123,117,26.3,2020-06-10
97124,55,11.4,2020-06-10
97127,-1,-1,2020-06-10
97128,36,10.0,2020-06-10
97131,-1,-1,2020-06-10
97132,30,10.6,2020-06-10
97133,-1,-1,2020-06-10
97136,0,0.0,2020-06-10
97137,0,0.0,2020-06-10
97138,-1,-1,2020-06-10
97140,20,8.5,2020-06-10
97141,-1,-1,2020-06-10
97146,13,22.0,2020-06-10
97148,-1,-1,2020-06-10
97201,14,9.0,2020-06-10
97202,27,7.0,2020-06-10
97203,61,19.7,2020-06-10
97204,-1,-1,2020-06-10
97205,-1,-1,2020-06-10
97206,48,10.1,2020-06-10
97209,17,11.4,2020-06-10
97210,-1,-1,2020-06-10
97211,32,10.2,2020-06-10
97212,15,6.2,2020-06-10
97213,41,14.0,2020-06-10
97214,43,18.1,2020-06-10
97215,12,7.3,2020-06-10
97216,20,12.8,2020-06-10
97217,40,12.7,2020-06-10
97218,15,10.3,2020-06-10
97219,36,9.3,2020-06-10
97220,54,19.0,2020-06-10
97221,-1,-1,2020-06-10
97222,45,12.9,2020-06-10
97223,63,13.5,2020-06-10
97224,28,9.0,2020-06-10
97225,24,9.9,2020-06-10
97227,-1,-1,2020-06-10
97229,34,5.8,2020-06-10
97230,93,23.4,2020-06-10
97231,-1,-1,2020-06-10
97232,-1,-1,2020-06-10
97233,110,27.9,2020-06-10
97236,208,56.4,2020-06-10
97239,-1,-1,2020-06-10
97266,65,19.5,2020-06-10
97267,34,11.0,2020-06-10
97301,130,24.3,2020-06-10
97302,58,15.6,2020-06-10
97303,86,22.2,2020-06-10
97304,75,26.4,2020-06-10
97305,121,30.1,2020-06-10
97306,44,16.1,2020-06-10
97317,63,25.9,2020-06-10
97321,36,14.4,2020-06-10
97322,40,11.8,2020-06-10
97324,0,0.0,2020-06-10
97325,14,21.2,2020-06-10
97327,-1,-1,2020-06-10
97330,42,10.1,2020-06-10
97331,-1,-1,2020-06-10
97333,-1,-1,2020-06-10
97338,-1,-1,2020-06-10
97341,-1,-1,2020-06-10
97344,0,0.0,2020-06-10
97347,-1,-1,2020-06-10
97348,-1,-1,2020-06-10
97351,11,10.7,2020-06-10
97352,-1,-1,2020-06-10
97355,39,13.6,2020-06-10
97358,0,0.0,2020-06-10
97360,-1,-1,2020-06-10
97361,-1,-1,2020-06-10
97362,14,32.3,2020-06-10
97365,144,134.0,2020-06-10
97366,-1,-1,2020-06-10
97367,-1,-1,2020-06-10
97368,0,0.0,2020-06-10
97370,-1,-1,2020-06-10
97374,-1,-1,2020-06-10
97375,-1,-1,2020-06-10
97376,0,0.0,2020-06-10
97378,-1,-1,2020-06-10
97380,-1,-1,2020-06-10
97381,36,24.5,2020-06-10
97383,21,21.9,2020-06-10
97385,14,43.0,2020-06-10
97386,-1,-1,2020-06-10
97389,-1,-1,2020-06-10
97391,0,0.0,2020-06-10
97392,-1,-1,2020-06-10
97394,-1,-1,2020-06-10
97396,-1,-1,2020-06-10
97401,13,3.2,2020-06-10
97402,21,4.2,2020-06-10
97403,0,0.0,2020-06-10
97404,-1,-1,2020-06-10
97405,10,2.2,2020-06-10
97408,-1,-1,2020-06-10
97411,0,0.0,2020-06-10
97415,-1,-1,2020-06-10
97417,-1,-1,2020-06-10
97419,0,0.0,2020-06-10
97420,-1,-1,2020-06-10
97423,0,0.0,2020-06-10
97424,-1,-1,2020-06-10
97426,-1,-1,2020-06-10
97431,0,0.0,2020-06-10
97435,0,0.0,2020-06-10
97437,0,0.0,2020-06-10
97438,0,0.0,2020-06-10
97439,-1,-1,2020-06-10
97442,0,0.0,2020-06-10
97443,0,0.0,2020-06-10
97444,-1,-1,2020-06-10
97446,-1,-1,2020-06-10
97448,-1,-1,2020-06-10
97449,0,0.0,2020-06-10
97452,0,0.0,2020-06-10
97454,0,0.0,2020-06-10
97455,0,0.0,2020-06-10
97456,0,0.0,2020-06-10
97457,-1,-1,2020-06-10
97458,0,0.0,2020-06-10
97459,27,19.2,2020-06-10
97462,-1,-1,2020-06-10
97463,0,0.0,2020-06-10
97465,0,0.0,2020-06-10
97467,-1,-1,2020-06-10
97469,-1,-1,2020-06-10
97470,-1,-1,2020-06-10
97471,-1,-1,2020-06-10
97477,10,2.7,2020-06-10
97478,-1,-1,2020-06-10
97479,-1,-1,2020-06-10
97487,-1,-1,2020-06-10
97488,0,0.0,2020-06-10
97495,-1,-1,2020-06-10
97496,-1,-1,2020-06-10
97497,0,0.0,2020-06-10
97498,0,0.0,2020-06-10
97499,0,0.0,2020-06-10
97501,15,3.6,2020-06-10
97502,15,5.4,2020-06-10
97503,10,9.5,2020-06-10
97504,14,3.2,2020-06-10
97520,10,4.1,2020-06-10
97523,-1,-1,2020-06-10
97524,-1,-1,2020-06-10
97525,0,0.0,2020-06-10
97526,13,3.8,2020-06-10
97527,-1,-1,2020-06-10
97530,0,0.0,2020-06-10
97532,0,0.0,2020-06-10
97535,-1,-1,2020-06-10
97537,0,0.0,2020-06-10
97538,0,0.0,2020-06-10
97539,0,0.0,2020-06-10
97540,-1,-1,2020-06-10
97541,0,0.0,2020-06-10
97544,0,0.0,2020-06-10
97601,18,8.0,2020-06-10
97603,19,6.4,2020-06-10
97623,0,0.0,2020-06-10
97624,-1,-1,2020-06-10
97630,-1,-1,2020-06-10
97632,-1,-1,2020-06-10
97633,-1,-1,2020-06-10
97641,0,0.0,2020-06-10
97701,38,6.4,2020-06-10
97702,37,9.1,2020-06-10
97703,15,4.5,2020-06-10
97707,-1,-1,2020-06-10
97708,-1,-1,2020-06-10
97720,-1,-1,2020-06-10
97734,-1,-1,2020-06-10
97738,0,0.0,2020-06-10
97739,0,0.0,2020-06-10
97741,16,13.4,2020-06-10
97753,0,0.0,2020-06-10
97754,-1,-1,2020-06-10
97756,38,11.3,2020-06-10
97759,0,0.0,2020-06-10
97760,-1,-1,2020-06-10
97761,38,95.3,2020-06-10
97801,-1,-1,2020-06-10
97813,-1,-1,2020-06-10
97814,-1,-1,2020-06-10
97818,12,28.9,2020-06-10
97820,0,0.0,2020-06-10
97824,0,0.0,2020-06-10
97826,0,0.0,2020-06-10
97827,0,0.0,2020-06-10
97828,-1,-1,2020-06-10
97836,-1,-1,2020-06-10
97838,82,32.4,2020-06-10
97844,0,0.0,2020-06-10
97845,-1,-1,2020-06-10
97846,0,0.0,2020-06-10
97850,-1,-1,2020-06-10
97862,15,12.9,2020-06-10
97865,0,0.0,2020-06-10
97868,-1,-1,2020-06-10
97869,0,0.0,2020-06-10
97875,-1,-1,2020-06-10
97882,28,36.1,2020-06-10
97883,0,0.0,2020-06-10
97885,0,0.0,2020-06-10
97886,-1,-1,2020-06-10
97913,-1,-1,2020-06-10
97914,26,13.5,2020-06-10
97918,-1,-1,2020-06-10
