zip,count,rate_10k,date
97002,-1,-1,2020-05-27
97003,31,12.0,2020-05-27
97004,-1,-1,2020-05-27
97005,34,13.7,2020-05-27
97006,49,7.8,2020-05-27
97007,49,7.3,2020-05-27
97008,17,5.9,2020-05-27
97009,-1,-1,2020-05-27
97013,30,13.2,2020-05-27
97014,-1,-1,2020-05-27
97015,18,9.2,2020-05-27
97016,0,0.0,2020-05-27
97017,-1,-1,2020-05-27
97018,0,0.0,2020-05-27
97019,-1,-1,2020-05-27
97021,0,0.0,2020-05-27
97022,0,0.0,2020-05-27
97023,-1,-1,2020-05-27
97024,33,32.2,2020-05-27
97026,46,120.6,2020-05-27
97027,-1,-1,2020-05-27
97030,85,23.2,2020-05-27
97031,-1,-1,2020-05-27
97032,24,47.6,2020-05-27
97034,-1,-1,2020-05-27
97035,-1,-1,2020-05-27
97038,32,21.2,2020-05-27
97040,0,0.0,2020-05-27
97041,-1,-1,2020-05-27
97042,-1,-1,2020-05-27
97045,24,4.7,2020-05-27
97048,-1,-1,2020-05-27
97049,0,0.0,2020-05-27
97051,-1,-1,2020-05-27
97053,-1,-1,2020-05-27
97054,0,0.0,2020-05-27
97055,16,9.2,2020-05-27
97056,-1,-1,2020-05-27
97058,17,8.6,2020-05-27
97060,39,18.4,2020-05-27
97062,31,11.3,2020-05-27
97063,0,0.0,2020-05-27
97064,-1,-1,2020-05-27
97067,0,0.0,2020-05-27
97068,10,3.5,2020-05-27
97070,19,9.1,2020-05-27
97071,202,70.1,2020-05-27
97078,39,18.2,2020-05-27
97080,78,19.1,2020-05-27
97086,29,11.1,2020-05-27
97089,10,8.3,2020-05-27
97101,-1,-1,2020-05-27
97103,23,13.6,2020-05-27
97106,-1,-1,2020-05-27
97107,0,0.0,2020-05-27
97110,0,0.0,2020-05-27
97111,0,0.0,2020-05-27
97112,0,0.0,2020-05-27
97113,51,36.0,2020-05-27
97114,-1,-1,2020-05-27
97115,-1,-1,2020-05-27
97116,81,33.6,2020-05-27
97119,-1,-1,2020-05-27
97121,-1,-1,2020-05-27
97123,102,22.9,2020-05-27
97124,53,11.0,2020-05-27
97127,-1,-1,2020-05-27
97128,19,5.3,2020-05-27
97131,-1,-1,2020-05-27
97132,29,10.3,2020-05-27
97133,-1,-1,2020-05-27
97136,0,0.0,2020-05-27
97137,0,0.0,2020-05-27
97138,-1,-1,2020-05-27
97140,19,8.1,2020-05-27
97141,-1,-1,2020-05-27
97146,13,22.0,2020-05-27
97148,0,0.0,2020-05-27
97201,13,8.4,2020-05-27
97202,22,5.7,2020-05-27
97203,45,14.5,2020-05-27
97204,-1,-1,2020-05-27
97205,-1,-1,2020-05-27
97206,35,7.4,2020-05-27
97209,14,9.4,2020-05-27
97210,-1,-1,2020-05-27
97211,22,7.0,2020-05-27
97212,-1,-1,2020-05-27
97213,35,12.0,2020-05-27
97214,43,18.1,2020-05-27
97215,10,6.1,2020-05-27
97216,11,7.1,2020-05-27
97217,32,10.2,2020-05-27
97218,12,8.2,2020-05-27
97219,31,8.0,2020-05-27
97220,45,15.8,2020-05-27
97221,-1,-1,2020-05-27
97222,37,10.6,2020-05-27
97223,49,10.5,2020-05-27
97224,26,8.4,2020-05-27
97225,22,9.1,2020-05-27
97227,-1,-1,2020-05-27
97229,33,5.7,2020-05-27
97230,78,19.6,2020-05-27
97231,-1,-1,2020-05-27
97232,-1,-1,2020-05-27
97233,87,22.1,2020-05-27
97236,183,49.7,2020-05-27
97239,-1,-1,2020-05-27
97266,41,12.3,2020-05-27
97267,27,8.8,2020-05-27
97301,89,16.6,2020-05-27
97302,47,12.7,2020-05-27
97303,82,21.2,2020-05-27
97304,71,25.0,2020-05-27
97305,90,22.4,2020-05-27
97306,37,13.5,2020-05-27
97317,55,22.6,2020-05-27
97321,31,12.4,2020-05-27
97322,39,11.5,2020-05-27
97324,0,0.0,2020-05-27
97325,10,15.1,2020-05-27
97327,-1,-1,2020-05-27
97330,38,9.2,2020-05-27
97331,-1,-1,2020-05-27
97333,-1,-1,2020-05-27
97338,-1,-1,2020-05-27
97341,-1,-1,2020-05-27
97344,0,0.0,2020-05-27
97347,-1,-1,2020-05-27
97348,-1,-1,2020-05-27
97351,-1,-1,2020-05-27
97352,-1,-1,2020-05-27
97355,37,12.9,2020-05-27
97358,0,0.0,2020-05-27
97360,-1,-1,2020-05-27
97361,-1,-1,2020-05-27
97362,14,32.3,2020-05-27
97365,-1,-1,2020-05-27
97366,0,0.0,2020-05-27
97367,-1,-1,2020-05-27
97368,0,0.0,2020-05-27
97370,-1,-1,2020-05-27
97374,-1,-1,2020-05-27
97375,-1,-1,2020-05-27
97376,0,0.0,2020-05-27
97378,-1,-1,2020-05-27
97380,-1,-1,2020-05-27
97381,35,23.8,2020-05-27
97383,20,20.9,2020-05-27
97385,14,43.0,2020-05-27
97386,-1,-1,2020-05-27
97389,-1,-1,2020-05-27
97391,0,0.0,2020-05-27
97392,-1,-1,2020-05-27
97394,-1,-1,2020-05-27
97396,-1,-1,2020-05-27
97401,11,2.7,2020-05-27
97402,21,4.2,2020-05-27
97403,0,0.0,2020-05-27
97404,-1,-1,2020-05-27
97405,10,2.2,2020-05-27
97408,-1,-1,2020-05-27
97411,0,0.0,2020-05-27
97415,-1,-1,2020-05-27
97417,-1,-1,2020-05-27
97419,0,0.0,2020-05-27
97420,-1,-1,2020-05-27
97423,0,0.0,2020-05-27
97424,-1,-1,2020-05-27
97426,-1,-1,2020-05-27
97431,0,0.0,2020-05-27
97435,0,0.0,2020-05-27
97437,0,0.0,2020-05-27
97438,0,0.0,2020-05-27
97439,0,0.0,2020-05-27
97442,0,0.0,2020-05-27
97443,0,0.0,2020-05-27
97444,-1,-1,2020-05-27
97446,0,0.0,2020-05-27
97448,-1,-1,2020-05-27
97449,0,0.0,2020-05-27
97452,0,0.0,2020-05-27
97454,0,0.0,2020-05-27
97455,0,0.0,2020-05-27
97456,0,0.0,2020-05-27
97457,-1,-1,2020-05-27
97458,0,0.0,2020-05-27
97459,26,18.4,2020-05-27
97462,-1,-1,2020-05-27
97463,0,0.0,2020-05-27
97465,0,0.0,2020-05-27
97467,-1,-1,2020-05-27
97469,-1,-1,2020-05-27
97470,-1,-1,2020-05-27
97471,-1,-1,2020-05-27
97477,-1,-1,2020-05-27
97478,-1,-1,2020-05-27
97479,-1,-1,2020-05-27
97487,-1,-1,2020-05-27
97488,0,0.0,2020-05-27
97495,-1,-1,2020-05-27
97496,-1,-1,2020-05-27
97497,0,0.0,2020-05-27
97498,0,0.0,2020-05-27
97499,0,0.0,2020-05-27
97501,-1,-1,2020-05-27
97502,13,4.7,2020-05-27
97503,-1,-1,2020-05-27
97504,14,3.2,2020-05-27
97520,10,4.1,2020-05-27
97523,-1,-1,2020-05-27
97524,-1,-1,2020-05-27
97525,0,0.0,2020-05-27
97526,12,3.5,2020-05-27
97527,-1,-1,2020-05-27
97530,0,0.0,2020-05-27
97532,0,0.0,2020-05-27
97535,-1,-1,2020-05-27
97537,0,0.0,2020-05-27
97538,0,0.0,2020-05-27
97539,0,0.0,2020-05-27
97540,-1,-1,2020-05-27
97541,0,0.0,2020-05-27
97544,0,0.0,2020-05-27
97601,14,6.2,2020-05-27
97603,18,6.1,2020-05-27
97623,0,0.0,2020-05-27
97624,-1,-1,2020-05-27
97630,0,0.0,2020-05-27
97632,-1,-1,2020-05-27
97633,-1,-1,2020-05-27
97641,0,0.0,2020-05-27
97701,36,6.1,2020-05-27
97702,35,8.6,2020-05-27
97703,15,4.5,2020-05-27
97707,-1,-1,2020-05-27
97720,-1,-1,2020-05-27
97734,-1,-1,2020-05-27
97738,0,0.0,2020-05-27
97739,0,0.0,2020-05-27
97741,-1,-1,2020-05-27
97753,0,0.0,2020-05-27
97754,-1,-1,2020-05-27
97756,27,8.0,2020-05-27
97759,0,0.0,2020-05-27
97760,-1,-1,2020-05-27
97761,16,40.1,2020-05-27
97801,-1,-1,2020-05-27
97813,-1,-1,2020-05-27
97814,-1,-1,2020-05-27
97818,11,26.4,2020-05-27
97820,0,0.0,2020-05-27
97824,0,0.0,2020-05-27
97826,0,0.0,2020-05-27
97827,0,0.0,2020-05-27
97828,-1,-1,2020-05-27
97836,-1,-1,2020-05-27
97838,66,26.0,2020-05-27
97844,0,0.0,2020-05-27
97845,-1,-1,2020-05-27
97846,0,0.0,2020-05-27
97850,-1,-1,2020-05-27
97862,11,9.4,2020-05-27
97865,0,0.0,2020-05-27
97868,-1,-1,2020-05-27
97869,0,0.0,2020-05-27
97875,-1,-1,2020-05-27
97882,18,23.2,2020-05-27
97883,0,0.0,2020-05-27
97885,0,0.0,2020-05-27
97886,-1,-1,2020-05-27
97913,-1,-1,2020-05-27
97914,23,12.0,2020-05-27
97918,-1,-1,2020-05-27
