zip,count,rate_10k,date
97002,36,640.2,2020-08-19
97003,184,710.9,2020-08-19
97004,19,433,2020-08-19
97005,246,987.7,2020-08-19
97006,279,442.6,2020-08-19
97007,225,336.1,2020-08-19
97008,147,507.4,2020-08-19
97009,46,592.6,2020-08-19
97013,189,833,2020-08-19
97014,-1,-1,2020-08-19
97015,113,578.9,2020-08-19
97016,18,295.9,2020-08-19
97017,-1,-1,2020-08-19
97018,-1,-1,2020-08-19
97019,34,1075.6,2020-08-19
97021,0,-1,2020-08-19
97022,13,349.3,2020-08-19
97023,30,305.1,2020-08-19
97024,185,1806.3,2020-08-19
97026,98,2568.8,2020-08-19
97027,44,362.7,2020-08-19
97030,372,1013.8,2020-08-19
97031,172,936.1,2020-08-19
97032,87,1725.2,2020-08-19
97034,54,285.6,2020-08-19
97035,74,309.5,2020-08-19
97038,79,522.7,2020-08-19
97040,-1,-1,2020-08-19
97041,27,958.5,2020-08-19
97042,15,513.2,2020-08-19
97045,226,440,2020-08-19
97048,24,358.7,2020-08-19
97049,-1,-1,2020-08-19
97051,32,200.5,2020-08-19
97053,-1,-1,2020-08-19
97054,-1,-1,2020-08-19
97055,53,305.5,2020-08-19
97056,24,208.8,2020-08-19
97058,184,927.5,2020-08-19
97060,192,904.6,2020-08-19
97062,221,805.6,2020-08-19
97063,-1,-1,2020-08-19
97064,-1,-1,2020-08-19
97067,-1,-1,2020-08-19
97068,70,247.3,2020-08-19
97070,116,553.5,2020-08-19
97071,680,2360.9,2020-08-19
97078,206,961.2,2020-08-19
97080,427,1044.3,2020-08-19
97086,149,572.9,2020-08-19
97089,59,492.2,2020-08-19
97101,17,448.1,2020-08-19
97103,43,255.1,2020-08-19
97106,-1,-1,2020-08-19
97107,-1,-1,2020-08-19
97110,-1,-1,2020-08-19
97111,14,443.6,2020-08-19
97112,-1,-1,2020-08-19
97113,220,1554.2,2020-08-19
97114,35,735,2020-08-19
97115,21,507.4,2020-08-19
97116,224,929.3,2020-08-19
97119,10,226.2,2020-08-19
97121,-1,-1,2020-08-19
97123,434,974.5,2020-08-19
97124,274,566.7,2020-08-19
97127,20,534.8,2020-08-19
97128,259,716.6,2020-08-19
97131,-1,-1,2020-08-19
97132,125,442,2020-08-19
97133,-1,-1,2020-08-19
97136,-1,-1,2020-08-19
97137,-1,-1,2020-08-19
97138,17,169.6,2020-08-19
97140,72,306.7,2020-08-19
97141,23,175,2020-08-19
97146,20,338.7,2020-08-19
97148,12,352.3,2020-08-19
97201,50,322.9,2020-08-19
97202,120,309.6,2020-08-19
97203,272,876.2,2020-08-19
97204,-1,-1,2020-08-19
97205,16,208.1,2020-08-19
97206,240,504.2,2020-08-19
97209,109,729.1,2020-08-19
97210,31,284.7,2020-08-19
97211,140,447.9,2020-08-19
97212,67,277.7,2020-08-19
97213,106,362.8,2020-08-19
97214,124,520.7,2020-08-19
97215,67,409.2,2020-08-19
97216,116,743.9,2020-08-19
97217,141,448.5,2020-08-19
97218,142,975.2,2020-08-19
97219,130,335.8,2020-08-19
97220,200,701.9,2020-08-19
97221,34,292.3,2020-08-19
97222,170,486,2020-08-19
97223,207,443.3,2020-08-19
97224,131,420.9,2020-08-19
97225,104,430.2,2020-08-19
97227,14,363.9,2020-08-19
97229,171,293.7,2020-08-19
97230,392,986.1,2020-08-19
97231,18,420.6,2020-08-19
97232,31,270.2,2020-08-19
97233,611,1552.1,2020-08-19
97236,612,1660.7,2020-08-19
97239,56,395.8,2020-08-19
97266,272,816.8,2020-08-19
97267,130,421.5,2020-08-19
97301,533,995.9,2020-08-19
97302,171,460.5,2020-08-19
97303,326,843.2,2020-08-19
97304,221,776.7,2020-08-19
97305,505,1257,2020-08-19
97306,189,690.8,2020-08-19
97317,195,800.7,2020-08-19
97321,86,345,2020-08-19
97322,116,340.8,2020-08-19
97324,-1,-1,2020-08-19
97325,34,514.1,2020-08-19
97327,-1,-1,2020-08-19
97330,101,243.5,2020-08-19
97331,-1,-1,2020-08-19
97333,36,168.4,2020-08-19
97338,40,199.6,2020-08-19
97341,-1,-1,2020-08-19
97344,-1,-1,2020-08-19
97347,-1,-1,2020-08-19
97348,-1,-1,2020-08-19
97351,59,572.4,2020-08-19
97352,13,232,2020-08-19
97355,84,293.6,2020-08-19
97358,-1,-1,2020-08-19
97360,-1,-1,2020-08-19
97361,40,355.3,2020-08-19
97362,32,737.7,2020-08-19
97365,314,2922.6,2020-08-19
97366,-1,-1,2020-08-19
97367,62,658.5,2020-08-19
97368,-1,-1,2020-08-19
97370,23,278.1,2020-08-19
97374,10,189.9,2020-08-19
97375,11,878.6,2020-08-19
97376,-1,-1,2020-08-19
97378,15,168.9,2020-08-19
97380,12,490,2020-08-19
97381,85,577.8,2020-08-19
97383,44,459,2020-08-19
97385,18,552.7,2020-08-19
97386,16,117.9,2020-08-19
97389,-1,-1,2020-08-19
97391,16,299.4,2020-08-19
97392,26,500.9,2020-08-19
97394,-1,-1,2020-08-19
97396,-1,-1,2020-08-19
97401,97,239.4,2020-08-19
97402,100,198.6,2020-08-19
97403,22,189.3,2020-08-19
97404,41,127.1,2020-08-19
97405,52,116.5,2020-08-19
97408,32,273.2,2020-08-19
97411,-1,-1,2020-08-19
97415,14,99.6,2020-08-19
97417,-1,-1,2020-08-19
97419,-1,-1,2020-08-19
97420,32,116.5,2020-08-19
97423,-1,-1,2020-08-19
97424,17,96.6,2020-08-19
97426,14,144.1,2020-08-19
97431,-1,-1,2020-08-19
97435,-1,-1,2020-08-19
97437,-1,-1,2020-08-19
97438,-1,-1,2020-08-19
97439,18,125.5,2020-08-19
97442,-1,-1,2020-08-19
97443,-1,-1,2020-08-19
97444,-1,-1,2020-08-19
97446,18,374.1,2020-08-19
97448,10,81.7,2020-08-19
97449,-1,-1,2020-08-19
97452,-1,-1,2020-08-19
97454,-1,-1,2020-08-19
97455,-1,-1,2020-08-19
97456,-1,-1,2020-08-19
97457,-1,-1,2020-08-19
97458,-1,-1,2020-08-19
97459,43,305.1,2020-08-19
97462,-1,-1,2020-08-19
97463,-1,-1,2020-08-19
97465,-1,-1,2020-08-19
97467,-1,-1,2020-08-19
97469,-1,-1,2020-08-19
97470,33,165.1,2020-08-19
97471,37,127.1,2020-08-19
97477,66,179,2020-08-19
97478,91,245.9,2020-08-19
97479,41,431.4,2020-08-19
97487,10,118.4,2020-08-19
97488,-1,-1,2020-08-19
97495,-1,-1,2020-08-19
97496,-1,-1,2020-08-19
97497,-1,-1,2020-08-19
97498,-1,-1,2020-08-19
97499,-1,-1,2020-08-19
97501,191,453.5,2020-08-19
97502,62,223.9,2020-08-19
97503,85,807.4,2020-08-19
97504,111,249.8,2020-08-19
97520,22,89.9,2020-08-19
97523,11,175.6,2020-08-19
97524,27,186.7,2020-08-19
97525,12,260.8,2020-08-19
97526,59,172.5,2020-08-19
97527,49,145.3,2020-08-19
97530,15,216.9,2020-08-19
97532,-1,-1,2020-08-19
97535,-1,-1,2020-08-19
97537,-1,-1,2020-08-19
97538,-1,-1,2020-08-19
97539,-1,-1,2020-08-19
97540,28,353.1,2020-08-19
97541,-1,-1,2020-08-19
97544,-1,-1,2020-08-19
97601,83,369.6,2020-08-19
97603,75,254,2020-08-19
97623,-1,-1,2020-08-19
97624,-1,-1,2020-08-19
97630,29,569.1,2020-08-19
97632,-1,-1,2020-08-19
97633,11,808.2,2020-08-19
97641,-1,-1,2020-08-19
97701,196,332.2,2020-08-19
97702,179,441.1,2020-08-19
