zip,count,rate_10k,date
97002,46,818.1,2020-09-02
97003,206,795.9,2020-09-02
97004,20,455.8,2020-09-02
97005,269,1080.1,2020-09-02
97006,304,482.3,2020-09-02
97007,255,380.9,2020-09-02
97008,168,579.9,2020-09-02
97009,55,708.6,2020-09-02
97013,229,1009.3,2020-09-02
97014,-1,-1,2020-09-02
97015,140,717.2,2020-09-02
97016,20,328.8,2020-09-02
97017,-1,-1,2020-09-02
97018,-1,-1,2020-09-02
97019,34,1075.6,2020-09-02
97021,-1,-1,2020-09-02
97022,16,429.9,2020-09-02
97023,37,376.3,2020-09-02
97024,198,1933.2,2020-09-02
97026,104,2726.1,2020-09-02
97027,48,395.7,2020-09-02
97030,427,1163.7,2020-09-02
97031,185,1006.8,2020-09-02
97032,99,1963.1,2020-09-02
97034,58,306.8,2020-09-02
97035,77,322,2020-09-02
97038,89,588.9,2020-09-02
97040,-1,-1,2020-09-02
97041,32,1136,2020-09-02
97042,16,547.4,2020-09-02
97045,265,516,2020-09-02
97048,26,388.6,2020-09-02
97049,-1,-1,2020-09-02
97051,39,244.4,2020-09-02
97053,-1,-1,2020-09-02
97054,0,0,2020-09-02
97055,56,322.8,2020-09-02
97056,26,226.1,2020-09-02
97058,185,932.6,2020-09-02
97060,214,1008.2,2020-09-02
97062,248,904,2020-09-02
97063,-1,-1,2020-09-02
97064,-1,-1,2020-09-02
97067,13,608,2020-09-02
97068,77,272,2020-09-02
97070,138,658.5,2020-09-02
97071,878,3048.3,2020-09-02
97078,229,1068.5,2020-09-02
97080,456,1115.2,2020-09-02
97086,175,672.8,2020-09-02
97089,75,625.7,2020-09-02
97101,18,474.4,2020-09-02
97103,44,261,2020-09-02
97106,16,351.6,2020-09-02
97107,0,0,2020-09-02
97110,-1,-1,2020-09-02
97111,14,443.6,2020-09-02
97112,0,0,2020-09-02
97113,242,1709.6,2020-09-02
97114,44,924,2020-09-02
97115,22,531.5,2020-09-02
97116,254,1053.8,2020-09-02
97119,11,248.9,2020-09-02
97121,-1,-1,2020-09-02
97123,504,1131.6,2020-09-02
97124,303,626.7,2020-09-02
97127,21,561.5,2020-09-02
97128,329,910.3,2020-09-02
97131,-1,-1,2020-09-02
97132,142,502.2,2020-09-02
97133,13,325,2020-09-02
97136,-1,-1,2020-09-02
97137,-1,-1,2020-09-02
97138,17,169.6,2020-09-02
97140,76,323.8,2020-09-02
97141,24,182.6,2020-09-02
97146,22,372.6,2020-09-02
97148,14,411,2020-09-02
97201,55,355.2,2020-09-02
97202,144,371.5,2020-09-02
97203,297,956.8,2020-09-02
97204,-1,-1,2020-09-02
97205,16,208.1,2020-09-02
97206,263,552.6,2020-09-02
97209,116,775.9,2020-09-02
97210,38,349,2020-09-02
97211,165,527.9,2020-09-02
97212,73,302.6,2020-09-02
97213,116,397,2020-09-02
97214,135,566.9,2020-09-02
97215,80,488.5,2020-09-02
97216,137,878.5,2020-09-02
97217,156,496.2,2020-09-02
97218,158,1085.1,2020-09-02
97219,142,366.8,2020-09-02
97220,247,866.8,2020-09-02
97221,36,309.5,2020-09-02
97222,182,520.3,2020-09-02
97223,235,503.2,2020-09-02
97224,152,488.4,2020-09-02
97225,112,463.3,2020-09-02
97227,16,415.9,2020-09-02
97229,193,331.5,2020-09-02
97230,442,1111.9,2020-09-02
97231,18,420.6,2020-09-02
97232,34,296.4,2020-09-02
97233,664,1686.7,2020-09-02
97236,679,1842.5,2020-09-02
97239,67,473.5,2020-09-02
97266,318,955,2020-09-02
97267,138,447.5,2020-09-02
97301,619,1156.6,2020-09-02
97302,192,517.1,2020-09-02
97303,370,957,2020-09-02
97304,247,868.1,2020-09-02
97305,630,1568.1,2020-09-02
97306,199,727.3,2020-09-02
97317,231,948.5,2020-09-02
97321,104,417.2,2020-09-02
97322,141,414.2,2020-09-02
97324,-1,-1,2020-09-02
97325,37,559.4,2020-09-02
97327,-1,-1,2020-09-02
97330,116,279.7,2020-09-02
97331,-1,-1,2020-09-02
97333,42,196.5,2020-09-02
97338,44,219.5,2020-09-02
97341,-1,-1,2020-09-02
97344,-1,-1,2020-09-02
97347,-1,-1,2020-09-02
97348,-1,-1,2020-09-02
97351,75,727.7,2020-09-02
97352,17,303.4,2020-09-02
97355,89,311,2020-09-02
97358,0,0,2020-09-02
97360,-1,-1,2020-09-02
97361,48,426.4,2020-09-02
97362,43,991.2,2020-09-02
97365,315,2931.9,2020-09-02
97366,10,684.9,2020-09-02
97367,83,881.5,2020-09-02
97368,-1,-1,2020-09-02
97370,27,326.4,2020-09-02
97374,11,208.9,2020-09-02
97375,12,958.5,2020-09-02
97376,-1,-1,2020-09-02
97378,24,270.2,2020-09-02
97380,12,490,2020-09-02
97381,101,686.6,2020-09-02
97383,47,490.2,2020-09-02
97385,21,644.8,2020-09-02
97386,17,125.3,2020-09-02
97389,-1,-1,2020-09-02
97391,17,318.1,2020-09-02
97392,27,520.1,2020-09-02
97394,-1,-1,2020-09-02
97396,-1,-1,2020-09-02
97401,107,264.1,2020-09-02
97402,113,224.5,2020-09-02
97403,24,206.5,2020-09-02
97404,50,155,2020-09-02
97405,59,132.2,2020-09-02
97408,34,290.3,2020-09-02
97411,-1,-1,2020-09-02
97415,15,106.8,2020-09-02
97417,-1,-1,2020-09-02
97419,-1,-1,2020-09-02
97420,45,163.8,2020-09-02
97423,13,190.9,2020-09-02
97424,25,142.1,2020-09-02
97426,14,144.1,2020-09-02
97431,-1,-1,2020-09-02
97435,-1,-1,2020-09-02
97437,-1,-1,2020-09-02
97438,-1,-1,2020-09-02
97439,19,132.5,2020-09-02
97442,0,0,2020-09-02
97443,-1,-1,2020-09-02
97444,-1,-1,2020-09-02
97446,19,394.8,2020-09-02
97448,12,98,2020-09-02
97449,0,0,2020-09-02
97452,-1,-1,2020-09-02
97454,0,0,2020-09-02
97455,-1,-1,2020-09-02
97456,-1,-1,2020-09-02
97457,-1,-1,2020-09-02
97458,-1,-1,2020-09-02
97459,46,326.3,2020-09-02
97462,11,279.3,2020-09-02
97463,-1,-1,2020-09-02
97465,0,0,2020-09-02
97467,-1,-1,2020-09-02
97469,-1,-1,2020-09-02
97470,34,170.1,2020-09-02
97471,41,140.9,2020-09-02
97477,75,203.4,2020-09-02
97478,109,294.5,2020-09-02
97479,41,431.4,2020-09-02
97487,11,130.2,2020-09-02
97488,-1,-1,2020-09-02
97495,-1,-1,2020-09-02
97496,10,131,2020-09-02
97497,0,0,2020-09-02
97498,-1,-1,2020-09-02
97499,0,0,2020-09-02
97501,293,695.7,2020-09-02
97502,91,328.6,2020-09-02
97503,110,1044.8,2020-09-02
97504,144,324,2020-09-02
97520,33,134.9,2020-09-02
97523,10,159.6,2020-09-02
97524,39,269.7,2020-09-02
97525,16,347.8,2020-09-02
97526,65,190,2020-09-02
97527,59,175,2020-09-02
97530,17,245.8,2020-09-02
97532,-1,-1,2020-09-02
97535,16,317,2020-09-02
97537,11,159,2020-09-02
97538,0,0,2020-09-02
97539,-1,-1,2020-09-02
97540,33,416.1,2020-09-02
97541,-1,-1,2020-09-02
