County,Positive,Deaths,Negative
Baker,0,0,60
Benton,27,5,752
Clackamas,196,6,4131
Clatsop,6,0,400
Columbia,14,0,547
Coos,4,0,464
Crook,1,0,170
Curry,4,0,126
Deschutes,70,0,1553
Douglas,23,0,787
Gilliam,0,0,18
Grant,1,0,47
Harney,0,0,46
Hood River,5,0,396
Jackson,48,0,3703
Jefferson,2,0,172
Josephine,19,1,924
Klamath,36,0,1504
Lake,0,0,62
Lane,50,1,2608
Lincoln,5,0,408
Linn,67,7,1480
Malheur,6,0,206
Marion,417,14,3305
Morrow,5,0,76
Multnomah,596,35,9909
Polk,33,1,653
Sherman,1,0,19
Tillamook,6,0,240
Umatilla,32,0,549
Union,4,0,104
Wallowa,1,0,25
Wasco,12,0,468
Washington,451,10,6270
Wheeler,0,0,10
Yamhill,35,6,1123
Total,2177,86,43315
