County,Cases1,Deaths2
Baker,757,12
Benton,2592,18
Clackamas,14340,196
Clatsop,845,7
Columbia,1390,24
Coos,1888,29
Crook,813,18
Curry,550,8
Deschutes,6370,70
Douglas,2901,60
Gilliam,54,1
Grant,288,4
Harney,289,6
Hood River,1084,29
Jackson,9297,121
Jefferson,2014,31
Josephine,2818,59
Klamath,3025,57
Lake,404,6
Lane,10795,141
Lincoln,1210,20
Linn,3847,60
Malheur,3399,58
Marion,19379,297
Morrow,1062,15
Multnomah,33314,558
Polk,3235,48
Sherman,53,0
Tillamook,522,2
Umatilla,7871,82
Union,1376,22
Wallowa,149,5
Wasco,1243,27
Washington,22382,223
Wheeler,25,1
Yamhill,3943,70
Total,165524,2385
