County,Cases1,Deaths2
Baker,826,13
Benton,2698,18
Clackamas,15074,202
Clatsop,877,8
Columbia,1518,25
Coos,1951,31
Crook,848,19
Curry,585,9
Deschutes,6877,72
Douglas,3014,65
Gilliam,55,1
Grant,378,4
Harney,304,6
Hood River,1115,29
Jackson,9760,126
Jefferson,2051,32
Josephine,3000,62
Klamath,3319,58
Lake,412,7
Lane,11346,144
Lincoln,1287,20
Linn,4062,62
Malheur,3423,58
Marion,19919,299
Morrow,1072,15
Multnomah,34438,566
Polk,3383,51
Sherman,57,0
Tillamook,570,3
Umatilla,7935,83
Union,1406,24
Wallowa,156,5
Wasco,1272,28
Washington,23145,229
Wheeler,25,1
Yamhill,4048,74
Total,172206,2449
