County,Cases1,Deaths2
Baker,963,15
Benton,3150,21
Clackamas,17857,215
Clatsop,1003,8
Columbia,1772,29
Coos,2114,35
Crook,1161,22
Curry,656,10
Deschutes,9311,77
Douglas,3365,72
Gilliam,63,1
Grant,527,6
Harney,361,8
Hood River,1196,31
Jackson,11049,141
Jefferson,2240,37
Josephine,3405,71
Klamath,4541,67
Lake,459,7
Lane,13245,149
Lincoln,1393,21
Linn,5136,70
Malheur,3540,63
Marion,22387,310
Morrow,1117,16
Multnomah,38947,596
Polk,3818,53
Sherman,58,1
Tillamook,656,3
Umatilla,8294,85
Union,1455,23
Wallowa,187,5
Wasco,1393,28
Washington,25955,233
Wheeler,32,1
Yamhill,4550,76
Total,197356,2606
