County,Cases1,Deaths2
Baker,920,14
Benton,2946,19
Clackamas,16680,208
Clatsop,959,8
Columbia,1668,26
Coos,2033,32
Crook,1005,20
Curry,634,9
Deschutes,8231,73
Douglas,3173,70
Gilliam,57,1
Grant,493,4
Harney,331,8
Hood River,1167,30
Jackson,10536,131
Jefferson,2140,32
Josephine,3248,67
Klamath,4098,59
Lake,437,7
Lane,12518,144
Lincoln,1362,20
Linn,4621,66
Malheur,3463,61
Marion,21413,302
Morrow,1093,15
Multnomah,37180,575
Polk,3625,52
Sherman,58,1
Tillamook,626,3
Umatilla,8089,84
Union,1436,23
Wallowa,176,5
Wasco,1359,28
Washington,24756,229
Wheeler,26,1
Yamhill,4320,75
Total,186877,2502
