County,Cases1,Deaths2
Baker,648,7
Benton,2318,16
Clackamas,13310,175
Clatsop,775,6
Columbia,1243,21
Coos,1425,19
Crook,775,18
Curry,416,6
Deschutes,5918,59
Douglas,2428,53
Gilliam,53,1
Grant,222,1
Harney,272,6
Hood River,1063,29
Jackson,8299,111
Jefferson,1950,28
Josephine,2316,49
Klamath,2774,55
Lake,374,6
Lane,10172,126
Lincoln,1128,20
Linn,3565,56
Malheur,3343,58
Marion,18335,285
Morrow,1044,14
Multnomah,31785,528
Polk,3029,42
Sherman,53,0
Tillamook,412,2
Umatilla,7631,81
Union,1275,19
Wallowa,142,4
Wasco,1220,26
Washington,21060,212
Wheeler,22,1
Yamhill,3759,64
Total,154554,2204
