County,Cases1,Deaths2,Negatives3
Baker,111,2,1992
Benton,382,6,15546
Clackamas,2755,64,66235
Clatsop,230,0,6201
Columbia,231,1,7789
Coos,196,0,7875
Crook,70,1,2816
Curry,51,0,2037
Deschutes,995,13,34025
Douglas,287,4,14051
Gilliam,10,0,330
Grant,10,0,964
Harney,13,0,871
Hood River,268,0,5403
Jackson,1372,6,37032
Jefferson,589,8,5228
Josephine,244,2,13064
Klamath,385,3,11034
Lake,34,0,975
Lane,1830,21,71100
Lincoln,496,13,9240
Linn,678,14,18375
Malheur,1775,33,5768
Marion,5224,101,53709
Morrow,532,6,1912
Multnomah,8041,146,154863
Polk,587,15,10320
Sherman,18,0,359
Tillamook,64,0,3309
Umatilla,3182,42,14108
Union,451,2,4710
Wallowa,36,1,1069
Wasco,327,14,5482
Washington,5100,67,101068
Wheeler,1,0,173
Yamhill,892,14,18755
Total,37467,599,707788
