County,Total Cases1,Total deaths2
Baker,730,12
Benton,2548,18
Clackamas,14175,196
Clatsop,832,7
Columbia,1353,24
Coos,1862,28
Crook,803,18
Curry,536,8
Deschutes,6302,70
Douglas,2849,59
Gilliam,54,1
Grant,272,4
Harney,285,6
Hood River,1084,29
Jackson,9149,120
Jefferson,2011,31
Josephine,2759,59
Klamath,2978,56
Lake,399,6
Lane,10699,141
Lincoln,1198,20
Linn,3786,60
Malheur,3392,58
Marion,19279,296
Morrow,1061,14
Multnomah,33042,558
Polk,3196,48
Sherman,53,0
Tillamook,497,2
Umatilla,7859,82
Union,1363,20
Wallowa,147,5
Wasco,1243,27
Washington,22214,221
Wheeler,25,1
Yamhill,3917,70
Total,163952,2375
