County,Cases1,Deaths2
Baker,743,12
Benton,2569,18
Clackamas,14244,196
Clatsop,836,7
Columbia,1364,24
Coos,1874,29
Crook,809,18
Curry,543,8
Deschutes,6327,70
Douglas,2879,59
Gilliam,54,1
Grant,275,4
Harney,288,6
Hood River,1084,29
Jackson,9191,121
Jefferson,2012,31
Josephine,2772,59
Klamath,2989,56
Lake,403,6
Lane,10729,141
Lincoln,1205,20
Linn,3810,60
Malheur,3396,58
Marion,19315,297
Morrow,1062,15
Multnomah,33153,558
Polk,3214,48
Sherman,53,0
Tillamook,505,2
Umatilla,7868,82
Union,1369,21
Wallowa,149,5
Wasco,1243,27
Washington,22288,222
Wheeler,25,1
Yamhill,3930,70
Total,164570,2381
