County,Cases1,Deaths2
Baker,807,13
Benton,2655,18
Clackamas,14930,201
Clatsop,873,8
Columbia,1500,25
Coos,1935,30
Crook,839,19
Curry,575,9
Deschutes,6759,72
Douglas,2999,65
Gilliam,55,1
Grant,341,4
Harney,300,6
Hood River,1099,29
Jackson,9657,126
Jefferson,2047,32
Josephine,2974,62
Klamath,3269,57
Lake,409,7
Lane,11255,144
Lincoln,1274,20
Linn,4024,61
Malheur,3416,58
Marion,19802,298
Morrow,1070,15
Multnomah,34243,565
Polk,3357,51
Sherman,56,0
Tillamook,567,2
Umatilla,7917,83
Union,1403,23
Wallowa,156,5
Wasco,1261,28
Washington,22966,229
Wheeler,25,1
Yamhill,4035,74
Total,170850,2441
