Updated_12/17/2020_with_data_from_12:01_am_(updated_Monday_-_Friday)
Total cases,"98,936"
Total deaths,"1,283"
Positive tests,"138,586"
Negative tests,"2,254,227"
Total tests,"2,392,813"
