County,Cases1,Deaths2
Baker,614,7
Benton,2196,16
Clackamas,13100,169
Clatsop,761,6
Columbia,1178,21
Coos,1292,17
Crook,749,18
Curry,374,6
Deschutes,5746,56
Douglas,2207,51
Gilliam,53,1
Grant,220,1
Harney,253,6
Hood River,1047,29
Jackson,7953,106
Jefferson,1891,27
Josephine,2209,47
Klamath,2724,54
Lake,358,6
Lane,9882,121
Lincoln,1117,18
Linn,3505,54
Malheur,3302,58
Marion,18005,277
Morrow,1016,13
Multnomah,31340,512
Polk,2920,42
Sherman,52,0
Tillamook,393,2
Umatilla,7465,79
Union,1249,19
Wallowa,137,4
Wasco,1213,25
Washington,20678,207
Wheeler,22,1
Yamhill,3654,62
Total,150875,2138
