County,Cases1,Deaths2
Baker,958,14
Benton,3108,20
Clackamas,17554,214
Clatsop,991,8
Columbia,1749,29
Coos,2071,34
Crook,1124,22
Curry,646,10
Deschutes,9046,74
Douglas,3283,71
Gilliam,63,1
Grant,522,6
Harney,346,8
Hood River,1193,30
Jackson,10901,139
Jefferson,2206,37
Josephine,3355,70
Klamath,4457,64
Lake,454,7
Lane,13052,149
Lincoln,1384,21
Linn,4957,68
Malheur,3523,63
Marion,22087,307
Morrow,1110,16
Multnomah,38497,593
Polk,3772,53
Sherman,58,1
Tillamook,652,3
Umatilla,8219,84
Union,1449,23
Wallowa,184,5
Wasco,1379,28
Washington,25687,233
Wheeler,32,1
Yamhill,4473,76
Total,194542,2582
