County,Cases1,Deaths2,Negatives3
Baker,16,0,747
Benton,132,6,7449
Clackamas,1181,33,32629
Clatsop,68,0,3146
Columbia,63,0,3821
Coos,73,0,3369
Crook,30,1,1384
Curry,11,0,902
Deschutes,387,1,14531
Douglas,92,1,6739
Gilliam,2,0,137
Grant,2,0,454
Harney,5,0,498
Hood River,139,0,3194
Jackson,257,0,16129
Jefferson,219,0,2658
Josephine,75,1,5743
Klamath,162,1,6272
Lake,30,0,393
Lane,407,3,34024
Lincoln,373,8,6255
Linn,204,10,9348
Malheur,530,6,2650
Marion,2238,62,24998
Morrow,208,1,949
Multnomah,3678,76,74725
Polk,212,12,3967
Sherman,8,0,217
Tillamook,23,0,1794
Umatilla,1462,12,7068
Union,385,2,2170
Wallowa,18,1,562
Wasco,132,3,2875
Washington,2319,22,47460
Wheeler,0,0,132
Yamhill,252,9,8012
Total,15393,271,337401
