County,Positive,Deaths,Negative
Baker,1,0,92
Benton,44,5,2194
Clackamas,241,8,6583
Clatsop,18,0,611
Columbia,15,0,859
Coos,29,0,717
Crook,1,0,264
Curry,4,0,189
Deschutes,83,0,2361
Douglas,24,0,1278
Gilliam,0,0,28
Grant,1,0,62
Harney,1,0,78
Hood River,11,0,649
Jackson,49,0,4499
Jefferson,22,0,390
Josephine,24,1,1226
Klamath,39,0,2319
Lake,0,0,76
Lane,57,2,4814
Lincoln,6,0,687
Linn,99,7,2326
Malheur,13,0,297
Marion,613,21,5094
Morrow,11,0,93
Multnomah,809,52,15097
Polk,78,4,998
Sherman,1,0,37
Tillamook,6,0,374
Umatilla,77,1,816
Union,4,0,154
Wallowa,1,0,43
Wasco,14,1,708
Washington,548,12,9767
Wheeler,0,0,13
Yamhill,45,7,1669
Total,2989,121,67462
