Hospital_capacity_and_usage_as_reported_to_HOSCAP,Available,Total
Adult ICU beds,332,751
Adult non-ICU beds,2094,6974
Pediatric NICU/PICU beds,90,198
Pediatric non-ICU beds,169,287
Ventilators,770,
