County,Cases1,Deaths2,Negatives3
Baker,54,0,1274
Benton,189,6,9531
Clackamas,1709,52,45878
Clatsop,91,0,4214
Columbia,115,1,5127
Coos,93,0,4566
Crook,53,1,2004
Curry,19,0,1170
Deschutes,650,11,21064
Douglas,165,1,9236
Gilliam,4,0,209
Grant,4,0,614
Harney,11,0,633
Hood River,220,0,4136
Jackson,594,2,21756
Jefferson,417,6,3825
Josephine,148,2,7777
Klamath,216,2,8030
Lake,32,0,590
Lane,632,4,47919
Lincoln,440,11,7235
Linn,342,11,12153
Malheur,947,16,3782
Marion,3284,73,35316
Morrow,410,3,1359
Multnomah,5410,102,105879
Polk,370,12,6134
Sherman,16,0,284
Tillamook,35,0,2326
Umatilla,2468,32,10321
Union,400,2,2774
Wallowa,21,1,750
Wasco,204,3,4046
Washington,3380,30,68358
Wheeler,0,0,145
Yamhill,533,13,12247
Total,23676,397,472662
