Updated_3/1/2021_with_data_from_12:01_am_(updated_Monday_-_Friday)
Total cases,"155,787"
Total deaths,"2,212"
Positive tests,"224,351"
Negative tests,"3,524,093"
Total tests,"3,748,444"
