County,Cases1,Deaths2
Baker,962,15
Benton,3154,21
Clackamas,17913,216
Clatsop,1003,8
Columbia,1782,29
Coos,2121,35
Crook,1165,22
Curry,658,10
Deschutes,9346,78
Douglas,3388,72
Gilliam,63,1
Grant,527,6
Harney,361,8
Hood River,1197,31
Jackson,11068,141
Jefferson,2250,37
Josephine,3408,71
Klamath,4573,67
Lake,459,7
Lane,13283,150
Lincoln,1394,21
Linn,5175,72
Malheur,3541,63
Marion,22442,310
Morrow,1117,16
Multnomah,39010,596
Polk,3822,53
Sherman,58,1
Tillamook,657,3
Umatilla,8317,86
Union,1455,23
Wallowa,187,5
Wasco,1399,28
Washington,26004,234
Wheeler,33,1
Yamhill,4559,76
Total,197851,2613
