County,Cases1,Deaths2,Negatives3
Baker,105,2,1920
Benton,363,6,14714
Clackamas,2616,64,64138
Clatsop,228,0,6014
Columbia,217,1,7467
Coos,192,0,7494
Crook,65,1,2724
Curry,32,0,1956
Deschutes,938,13,32379
Douglas,265,4,13586
Gilliam,8,0,317
Grant,10,0,939
Harney,12,0,848
Hood River,255,0,5267
Jackson,1295,6,35885
Jefferson,568,8,5083
Josephine,228,2,12708
Klamath,308,3,10667
Lake,34,0,951
Lane,1603,19,68531
Lincoln,489,13,9075
Linn,611,13,17620
Malheur,1714,33,5585
Marion,5034,101,51467
Morrow,524,6,1858
Multnomah,7665,145,149740
Polk,570,15,9824
Sherman,18,0,349
Tillamook,59,0,3224
Umatilla,3120,42,13728
Union,447,2,4639
Wallowa,36,1,1042
Wasco,310,6,5342
Washington,4863,63,97637
Wheeler,0,0,168
Yamhill,832,14,18013
Total,35634,583,682934
