Hospital_capacity_and_usage5,Available,Total_staffed
Adult ICU beds,238,769
Adult non-ICU beds,1212,4548
Pediatric NICU/PICU beds,95,282
Pediatric non-ICU beds,118,334
Ventilators,793,
