County,Positive,Deaths,Negative
Baker,0,0,19
Benton,21,2,531
Clackamas,116,3,2384
Clatsop,6,0,241
Columbia,10,0,295
Coos,0,0,296
Crook,1,0,98
Curry,3,0,81
Deschutes,51,0,994
Douglas,12,0,461
Gilliam,0,0,13
Grant,1,0,30
Harney,0,0,43
Hood River,4,0,223
Jackson,44,0,2683
Jefferson,0,0,92
Josephine,17,0,567
Klamath,24,0,483
Lake,0,0,44
Lane,34,1,1105
Lincoln,4,0,214
Linn,49,4,1066
Malheur,2,0,118
Marion,246,9,2171
Morrow,5,0,35
Multnomah,317,17,6040
Polk,29,1,435
Sherman,1,0,7
Tillamook,4,0,129
Umatilla,11,0,304
Union,3,0,64
Wallowa,1,0,17
Wasco,7,0,246
Washington,320,6,3604
Wheeler,0,0,6
Yamhill,28,5,714
Total,1371,48,25853
