COVID-19_Details,Currently_hospitalized_COVID-19_patients,Currently_hospitalized_COVID-19_positive_patients
Current hospitalized COVID-19 patients,440,156
COVID-19 patients in ICU beds,125,61
COVID-19 patients on ventilators,67,58
* Includes both confirmed and suspected COVID-19 patients﻿** Includes only confirmed positive COVID-19 patients
