Hospital_capacity_and_usage5,Available,Total_staffed
Adult ICU beds,206,762
Adult non-ICU beds,1022,4575
Pediatric NICU/PICU beds,86,282
Pediatric non-ICU beds,136,334
Ventilators,779,
