County,Positive,Deaths,Negative
Baker,0,0,9
Benton,8,0,306
Clackamas,39,2,992
Clatsop,3,0,87
Columbia,1,0,110
Coos,0,0,131
Crook,0,0,9
Curry,0,0,37
Deschutes,23,0,176
Douglas,4,0,166
Gilliam,0,0,4
Grant,1,0,2
Harney,0,0,26
Hood River,2,0,114
Jackson,19,0,1216
Jefferson,0,0,11
Josephine,6,0,130
Klamath,4,0,91
Lake,0,0,17
Lane,10,1,484
Lincoln,1,0,60
Linn,36,1,618
Malheur,0,0,36
Marion,109,3,972
Morrow,1,0,22
Multnomah,91,2,2752
Polk,13,0,220
Sherman,0,0,2
Tillamook,2,0,48
Umatilla,4,0,113
Union,1,0,21
Wallowa,0,0,3
Wasco,3,0,80
Washington,154,3,1445
Wheeler,0,0,1
Yamhill,13,1,367
Total,548,13,10878
