County,Cases1,Total deaths2,negatives
Baker,394,4,0
Benton,1209,9,0
Clackamas,8938,107,0
Clatsop,486,2,0
Columbia,730,9,0
Coos,648,6,0
Crook,388,6,0
Curry,241,2,0
Deschutes,3506,19,0
Douglas,1277,36,0
Gilliam,33,1,0
Grant,164,1,0
Harney,123,1,0
Hood River,694,8,0
Jackson,5264,58,0
Jefferson,1256,14,0
Josephine,955,17,0
Klamath,1591,14,0
Lake,181,4,0
Lane,6160,80,0
Lincoln,800,16,0
Linn,2303,31,0
Malheur,2733,49,0
Marion,12343,195,0
Morrow,771,7,0
Multnomah,22973,365,0
Polk,1726,24,0
Sherman,29,0,0
Tillamook,253,0,0
Umatilla,5121,54,0
Union,943,13,0
Wallowa,76,3,0
Wasco,768,20,0
Washington,14362,134,0
Wheeler,12,0,0
Yamhill,2363,31,0
Total,101814,1340,0
