County,Total Cases1,Total deaths2
Baker,919,14
Benton,2917,19
Clackamas,16496,208
Clatsop,956,8
Columbia,1658,26
Coos,2032,32
Crook,994,20
Curry,634,9
Deschutes,8116,73
Douglas,3153,69
Gilliam,57,1
Grant,493,4
Harney,329,8
Hood River,1160,30
Jackson,10510,131
Jefferson,2135,32
Josephine,3234,67
Klamath,4062,59
Lake,437,7
Lane,12406,144
Lincoln,1355,20
Linn,4557,66
Malheur,3463,61
Marion,21257,300
Morrow,1092,15
Multnomah,36839,574
Polk,3600,52
Sherman,57,1
Tillamook,622,3
Umatilla,8089,84
Union,1435,23
Wallowa,175,5
Wasco,1357,28
Washington,24681,229
Wheeler,26,1
Yamhill,4294,75
Total,185597,2498
