Hospital_capacity_and_usage5,Available,Total_staffed
Adult ICU beds,247,736
Adult non-ICU beds,1915,6439
Pediatric NICU/PICU beds,99,281
Pediatric non-ICU beds,156,330
Ventilators,784,
