County,Positive,Deaths,Negative
Baker,0,0,13
Benton,15,1,348
Clackamas,61,3,1388
Clatsop,3,0,132
Columbia,1,0,146
Coos,0,0,173
Crook,0,0,17
Curry,0,0,56
Deschutes,32,0,367
Douglas,9,0,264
Gilliam,0,0,7
Grant,1,0,5
Harney,0,0,30
Hood River,3,0,150
Jackson,27,0,1820
Jefferson,0,0,21
Josephine,12,0,252
Klamath,8,0,149
Lake,0,0,21
Lane,21,1,679
Lincoln,4,0,105
Linn,37,2,826
Malheur,1,0,56
Marion,164,4,1389
Morrow,1,0,25
Multnomah,160,3,3675
Polk,18,0,295
Sherman,0,0,4
Tillamook,3,0,78
Umatilla,5,0,149
Union,3,0,26
Wallowa,1,0,9
Wasco,7,0,116
Washington,211,4,2003
Wheeler,0,0,1
Yamhill,18,3,464
Total,826,21,15259
