County,Total Cases1,Total deaths2
Baker,676,9
Benton,2366,18
Clackamas,13456,191
Clatsop,779,6
Columbia,1277,21
Coos,1591,21
Crook,781,18
Curry,438,7
Deschutes,6027,65
Douglas,2592,55
Gilliam,54,1
Grant,230,1
Harney,278,6
Hood River,1071,29
Jackson,8569,118
Jefferson,1976,30
Josephine,2400,56
Klamath,2816,55
Lake,383,6
Lane,10373,131
Lincoln,1139,20
Linn,3613,57
Malheur,3363,58
Marion,18625,287
Morrow,1050,14
Multnomah,32006,550
Polk,3088,45
Sherman,53,0
Tillamook,430,2
Umatilla,7709,82
Union,1305,19
Wallowa,144,5
Wasco,1222,26
Washington,21377,217
Wheeler,22,1
Yamhill,3800,69
Total,157079,2296
