County,Positive,Deaths,Negative
Baker,0,0,Pending
Benton,27,5,Pending
Clackamas,183,5,Pending
Clatsop,6,0,Pending
Columbia,14,0,Pending
Coos,3,0,Pending
Crook,1,0,Pending
Curry,4,0,Pending
Deschutes,66,0,Pending
Douglas,23,0,Pending
Gilliam,0,0,Pending
Grant,1,0,Pending
Harney,0,0,Pending
Hood River,4,0,Pending
Jackson,48,0,Pending
Jefferson,2,0,Pending
Josephine,19,1,Pending
Klamath,33,0,Pending
Lake,0,0,Pending
Lane,48,1,Pending
Lincoln,5,0,Pending
Linn,63,6,Pending
Malheur,5,0,Pending
Marion,388,14,Pending
Morrow,5,0,Pending
Multnomah,566,29,Pending
Polk,33,1,Pending
Sherman,1,0,Pending
Tillamook,6,0,Pending
Umatilla,29,0,Pending
Union,4,0,Pending
Wallowa,1,0,Pending
Wasco,11,0,Pending
Washington,425,10,Pending
Wheeler,0,0,Pending
Yamhill,35,6,Pending
Total,2059,78,Pending
