County,Cases1,Deaths2
Baker,518,5
Benton,1572,12
Clackamas,11167,120
Clatsop,627,3
Columbia,975,16
Coos,897,13
Crook,531,8
Curry,306,3
Deschutes,4579,27
Douglas,1570,42
Gilliam,45,1
Grant,174,1
Harney,156,3
Hood River,906,20
Jackson,6563,80
Jefferson,1608,21
Josephine,1525,28
Klamath,2260,26
Lake,219,4
Lane,7766,100
Lincoln,958,17
Linn,2959,36
Malheur,3043,51
Marion,15550,222
Morrow,893,9
Multnomah,27144,415
Polk,2314,34
Sherman,47,0
Tillamook,357,2
Umatilla,6367,60
Union,1060,16
Wallowa,92,3
Wasco,1004,22
Washington,17819,156
Wheeler,17,1
Yamhill,3019,37
Total,126607,1614
