County,Cases1,Deaths2,Negatives3
Baker,172,3,2424
Benton,484,6,19538
Clackamas,3657,70,79956
Clatsop,273,0,7118
Columbia,297,2,9089
Coos,276,1,9483
Crook,131,5,3362
Curry,66,2,2478
Deschutes,1370,13,40791
Douglas,421,10,16127
Gilliam,17,0,384
Grant,25,0,1099
Harney,40,0,1001
Hood River,295,1,6069
Jackson,2114,8,43845
Jefferson,622,11,5957
Josephine,289,4,15569
Klamath,448,3,12185
Lake,48,0,1130
Lane,2689,28,84997
Lincoln,523,13,10152
Linn,960,17,22023
Malheur,2036,38,6576
Marion,6533,115,64269
Morrow,565,7,2164
Multnomah,10505,176,185739
Polk,740,15,12783
Sherman,23,0,399
Tillamook,82,0,3801
Umatilla,3556,45,16028
Union,513,2,5449
Wallowa,62,2,1290
Wasco,375,16,6194
Washington,6543,82,119022
Wheeler,1,0,187
Yamhill,1088,15,22510
Total,47839,710,841188
