County,Cases1,Deaths2
Baker,1038,15
Benton,3285,22
Clackamas,19112,235
Clatsop,1077,9
Columbia,1953,30
Coos,2191,39
Crook,1308,23
Curry,746,12
Deschutes,10125,82
Douglas,3992,83
Gilliam,82,1
Grant,552,7
Harney,439,11
Hood River,1232,33
Jackson,11664,148
Jefferson,2397,41
Josephine,3677,72
Klamath,4811,78
Lake,472,8
Lane,14070,168
Lincoln,1458,22
Linn,5770,81
Malheur,3622,64
Marion,23644,326
Morrow,1167,16
Multnomah,40616,615
Polk,4062,56
Sherman,70,1
Tillamook,679,4
Umatilla,8707,87
Union,1518,24
Wallowa,196,5
Wasco,1461,30
Washington,26977,252
Wheeler,35,1
Yamhill,4830,80
Total,209035,2781
