County,Cases1,Deaths2
Baker,947,14
Benton,3060,19
Clackamas,17262,209
Clatsop,976,8
Columbia,1727,26
Coos,2050,33
Crook,1076,20
Curry,645,9
Deschutes,8759,74
Douglas,3231,70
Gilliam,62,1
Grant,506,5
Harney,341,8
Hood River,1183,30
Jackson,10739,135
Jefferson,2174,34
Josephine,3316,69
Klamath,4330,61
Lake,444,7
Lane,12861,146
Lincoln,1371,20
Linn,4852,67
Malheur,3504,61
Marion,21859,306
Morrow,1101,15
Multnomah,38030,585
Polk,3713,52
Sherman,58,1
Tillamook,642,3
Umatilla,8140,84
Union,1444,23
Wallowa,182,5
Wasco,1371,28
Washington,25362,229
Wheeler,28,1
Yamhill,4428,75
Total,191774,2533
