County,Cases1,Deaths2
Baker,692,12
Benton,2455,18
Clackamas,13775,196
Clatsop,796,6
Columbia,1300,23
Coos,1729,23
Crook,789,18
Curry,489,8
Deschutes,6141,70
Douglas,2735,58
Gilliam,54,1
Grant,257,1
Harney,280,6
Hood River,1074,29
Jackson,8844,120
Jefferson,1996,31
Josephine,2555,59
Klamath,2890,55
Lake,392,6
Lane,10511,137
Lincoln,1161,20
Linn,3686,58
Malheur,3376,58
Marion,18939,292
Morrow,1055,14
Multnomah,32493,556
Polk,3141,48
Sherman,53,0
Tillamook,459,2
Umatilla,7788,82
Union,1338,20
Wallowa,144,5
Wasco,1232,26
Washington,21785,221
Wheeler,25,1
Yamhill,3857,69
Total,160286,2349
