Updated_4/22/2021_with_data_from_12:01_am_(updated_Monday_-_Friday)
Total cases,"178,110"
Total deaths,"2,467"
Positive tests,"257,772"
Negative tests,"4,302,522"
Total tests,"4,560,294"
