County,Cases1,Deaths2
Baker,697,12
Benton,2476,18
Clackamas,13829,196
Clatsop,802,7
Columbia,1301,23
Coos,1774,23
Crook,793,18
Curry,508,8
Deschutes,6161,70
Douglas,2762,58
Gilliam,54,1
Grant,259,1
Harney,283,6
Hood River,1074,29
Jackson,8913,120
Jefferson,2000,31
Josephine,2612,59
Klamath,2904,56
Lake,393,6
Lane,10538,138
Lincoln,1176,20
Linn,3706,59
Malheur,3381,58
Marion,19009,295
Morrow,1055,14
Multnomah,32596,556
Polk,3150,48
Sherman,53,0
Tillamook,462,2
Umatilla,7809,82
Union,1343,20
Wallowa,145,5
Wasco,1235,27
Washington,21848,221
Wheeler,25,1
Yamhill,3868,69
Total,160994,2357
