County,Total Cases1,Total deaths2
Baker,900,14
Benton,2832,19
Clackamas,15924,206
Clatsop,920,8
Columbia,1602,26
Coos,2005,32
Crook,946,19
Curry,615,9
Deschutes,7635,73
Douglas,3093,68
Gilliam,57,1
Grant,464,4
Harney,318,7
Hood River,1148,30
Jackson,10245,129
Jefferson,2095,32
Josephine,3151,65
Klamath,3805,59
Lake,421,7
Lane,12032,144
Lincoln,1328,20
Linn,4345,64
Malheur,3440,59
Marion,20796,300
Morrow,1088,15
Multnomah,35993,574
Polk,3534,52
Sherman,57,1
Tillamook,599,3
Umatilla,8029,84
Union,1425,23
Wallowa,160,5
Wasco,1332,28
Washington,24123,229
Wheeler,26,1
Yamhill,4217,75
Total,180700,2485
