County,Total Cases1,Total deaths2
Baker,690,11
Benton,2440,18
Clackamas,13711,193
Clatsop,789,6
Columbia,1299,21
Coos,1703,21
Crook,786,18
Curry,482,7
Deschutes,6120,68
Douglas,2708,58
Gilliam,54,1
Grant,248,1
Harney,278,6
Hood River,1074,29
Jackson,8785,120
Jefferson,1990,30
Josephine,2518,58
Klamath,2870,55
Lake,390,6
Lane,10474,134
Lincoln,1154,20
Linn,3674,57
Malheur,3373,58
Marion,18875,290
Morrow,1054,14
Multnomah,32393,553
Polk,3128,46
Sherman,53,0
Tillamook,454,2
Umatilla,7757,82
Union,1338,20
Wallowa,144,5
Wasco,1231,26
Washington,21709,218
Wheeler,23,1
Yamhill,3848,69
Total,159617,2322
