County,Positive,Deaths,Negative
Baker,0,0,42
Benton,27,5,634
Clackamas,161,5,3467
Clatsop,6,0,350
Columbia,14,0,461
Coos,1,0,401
Crook,1,0,138
Curry,4,0,111
Deschutes,64,0,1344
Douglas,22,0,662
Gilliam,0,0,16
Grant,1,0,43
Harney,0,0,45
Hood River,4,0,355
Jackson,49,0,3462
Jefferson,1,0,126
Josephine,19,1,822
Klamath,30,0,1284
Lake,0,0,53
Lane,48,1,2013
Lincoln,4,0,321
Linn,59,6,1296
Malheur,5,0,181
Marion,358,13,2908
Morrow,5,0,59
Multnomah,514,28,8445
Polk,32,1,569
Sherman,1,0,18
Tillamook,6,0,197
Umatilla,26,0,479
Union,4,0,88
Wallowa,1,0,22
Wasco,10,0,409
Washington,399,8,5327
Wheeler,0,0,7
Yamhill,34,6,973
Total,1910,74,37128
