County,Cases1,Deaths2
Baker,962,15
Benton,3167,21
Clackamas,18033,218
Clatsop,1004,8
Columbia,1793,29
Coos,2131,35
Crook,1182,22
Curry,661,10
Deschutes,9443,78
Douglas,3435,73
Gilliam,63,1
Grant,528,6
Harney,365,8
Hood River,1199,31
Jackson,11121,143
Jefferson,2270,37
Josephine,3428,71
Klamath,4609,70
Lake,461,7
Lane,13370,150
Lincoln,1396,21
Linn,5243,73
Malheur,3544,63
Marion,22584,312
Morrow,1122,16
Multnomah,39185,596
Polk,3845,53
Sherman,59,1
Tillamook,659,3
Umatilla,8328,86
Union,1455,23
Wallowa,187,5
Wasco,1407,28
Washington,26115,234
Wheeler,33,1
Yamhill,4585,76
Total,198972,2624
