County,Cases1,Deaths2
Baker,708,12
Benton,2519,18
Clackamas,13986,196
Clatsop,816,7
Columbia,1321,24
Coos,1818,26
Crook,798,18
Curry,527,8
Deschutes,6223,70
Douglas,2803,58
Gilliam,54,1
Grant,266,2
Harney,283,6
Hood River,1079,29
Jackson,9033,120
Jefferson,2006,31
Josephine,2691,59
Klamath,2927,56
Lake,396,6
Lane,10620,140
Lincoln,1188,20
Linn,3751,59
Malheur,3387,58
Marion,19157,296
Morrow,1055,14
Multnomah,32795,558
OutOfStateBrad,1,0
Polk,3167,48
Sherman,53,0
Tillamook,477,2
Umatilla,7833,82
Union,1354,20
Wallowa,145,5
Wasco,1237,27
Washington,22000,221
Wheeler,25,1
Yamhill,3885,70
Total,162385,2368
