County,Cases1,Deaths2
Baker,691,12
Benton,2448,18
Clackamas,13759,196
Clatsop,789,6
Columbia,1298,23
Coos,1719,23
Crook,788,18
Curry,488,8
Deschutes,6134,70
Douglas,2726,58
Gilliam,54,1
Grant,251,1
Harney,280,6
Hood River,1074,29
Jackson,8820,120
Jefferson,1994,31
Josephine,2539,58
Klamath,2888,55
Lake,392,6
Lane,10495,136
Lincoln,1158,20
Linn,3680,58
Malheur,3373,58
Marion,18914,292
Morrow,1054,14
Multnomah,32470,556
Polk,3140,48
Sherman,53,0
Tillamook,457,2
Umatilla,7775,82
Union,1338,20
Wallowa,144,5
Wasco,1232,26
Washington,21759,220
Wheeler,23,1
Yamhill,3853,69
Total,160050,2346
