County,Cases1,Deaths2,Negatives3
Baker,1,0,177
Benton,55,5,3500
Clackamas,290,9,10120
Clatsop,45,0,1323
Columbia,16,0,1358
Coos,31,0,1242
Crook,4,0,461
Curry,6,0,292
Deschutes,117,0,4388
Douglas,25,0,2126
Gilliam,0,0,49
Grant,1,0,97
Harney,1,0,167
Hood River,12,0,921
Jackson,56,0,5964
Jefferson,25,0,730
Josephine,25,1,1852
Klamath,41,0,3071
Lake,0,0,111
Lane,67,2,8483
Lincoln,8,0,1276
Linn,112,9,3551
Malheur,28,0,572
Marion,898,25,8429
Morrow,12,0,154
Multnomah,1037,58,23114
Polk,95,10,1631
Sherman,1,0,69
Tillamook,6,0,610
Umatilla,110,3,1420
Union,6,0,326
Wallowa,2,0,98
Wasco,18,1,1015
Washington,673,17,14984
Wheeler,0,0,78
Yamhill,64,7,2545
Total,3888,147,106319
