County,Cases1,Deaths2,Negatives3
Baker,45,0,1117
Benton,181,6,9208
Clackamas,1607,49,42516
Clatsop,87,0,3938
Columbia,103,1,4777
Coos,91,0,4265
Crook,51,1,1857
Curry,17,0,1111
Deschutes,621,11,19876
Douglas,159,1,8826
Gilliam,4,0,200
Grant,4,0,583
Harney,11,0,607
Hood River,207,0,3970
Jackson,515,2,20825
Jefferson,392,4,3671
Josephine,130,2,7382
Klamath,206,2,7764
Lake,32,0,565
Lane,611,3,45884
Lincoln,428,9,7091
Linn,306,11,11766
Malheur,851,15,3584
Marion,3040,73,33590
Morrow,384,3,1297
Multnomah,5135,101,99203
Polk,337,12,5740
Sherman,16,0,275
Tillamook,35,0,2205
Umatilla,2362,31,9959
Union,397,2,2678
Wallowa,20,1,732
Wasco,197,3,3829
Washington,3235,27,62999
Wheeler,0,0,139
Yamhill,483,13,10934
Total,22300,383,444963
