County,Cases1,Deaths2
Baker,699,12
Benton,2507,18
Clackamas,13918,196
Clatsop,807,7
Columbia,1311,24
Coos,1803,24
Crook,796,18
Curry,522,8
Deschutes,6178,70
Douglas,2791,58
Gilliam,54,1
Grant,262,2
Harney,283,6
Hood River,1076,29
Jackson,8960,120
Jefferson,2004,31
Josephine,2660,59
Klamath,2916,56
Lake,395,6
Lane,10579,140
Lincoln,1179,20
Linn,3738,59
Malheur,3384,58
Marion,19099,296
Morrow,1055,14
Multnomah,32692,557
Polk,3156,48
Sherman,53,0
Tillamook,469,2
Umatilla,7816,82
Union,1348,20
Wallowa,145,5
Wasco,1236,27
Washington,21916,221
Wheeler,25,1
Yamhill,3874,70
Total,161706,2365
