County,Positive,Deaths,Negative
Baker,0,0,13
Benton,13,1,350
Clackamas,56,3,1243
Clatsop,3,0,118
Columbia,1,0,136
Coos,0,0,174
Crook,0,0,15
Curry,0,0,52
Deschutes,27,0,277
Douglas,10,0,244
Gilliam,0,0,4
Grant,1,0,4
Harney,0,0,27
Hood River,2,0,144
Jackson,22,0,1703
Jefferson,0,0,16
Josephine,10,0,234
Klamath,5,0,145
Lake,0,0,21
Lane,18,1,638
Lincoln,3,0,96
Linn,37,2,775
Malheur,1,0,53
Marion,151,3,1323
Morrow,1,0,27
Multnomah,134,3,3383
Polk,18,0,285
Sherman,0,0,3
Tillamook,3,0,76
Umatilla,5,0,145
Union,1,0,26
Wallowa,1,0,8
Wasco,7,0,110
Washington,189,3,1824
Wheeler,0,0,1
Yamhill,17,3,439
Total,736,19,14132
