County,Cases1,Deaths2
Baker,911,14
Benton,2873,19
Clackamas,16201,207
Clatsop,934,8
Columbia,1629,26
Coos,2019,32
Crook,967,19
Curry,629,9
Deschutes,7822,73
Douglas,3120,69
Gilliam,57,1
Grant,480,4
Harney,324,8
Hood River,1152,30
Jackson,10388,130
Jefferson,2105,32
Josephine,3187,65
Klamath,3905,59
Lake,429,7
Lane,12195,144
Lincoln,1336,20
Linn,4429,65
Malheur,3453,59
Marion,21025,300
Morrow,1089,15
Multnomah,36388,574
Polk,3567,52
Sherman,57,1
Tillamook,610,3
Umatilla,8061,84
Union,1427,23
Wallowa,165,5
Wasco,1340,28
Washington,24371,229
Wheeler,26,1
Yamhill,4245,75
Total,182916,2490
