County,Cases1,Deaths2
Baker,472,5
Benton,1347,11
Clackamas,10058,112
Clatsop,553,3
Columbia,837,14
Coos,756,9
Crook,448,7
Curry,278,3
Deschutes,3976,22
Douglas,1387,39
Gilliam,37,1
Grant,170,1
Harney,134,2
Hood River,816,14
Jackson,5884,72
Jefferson,1425,17
Josephine,1193,22
Klamath,1910,18
Lake,197,4
Lane,6929,92
Lincoln,880,17
Linn,2650,32
Malheur,2894,50
Marion,13928,210
Morrow,815,8
Multnomah,25290,390
Polk,1977,30
Sherman,31,0
Tillamook,308,0
Umatilla,5640,57
Union,980,14
Wallowa,76,3
Wasco,905,22
Washington,16070,141
Wheeler,17,1
Yamhill,2641,34
Total,113909,1477
