County,Cases1,Deaths2,Negatives3
Baker,1,0,172
Benton,55,5,3446
Clackamas,289,9,9885
Clatsop,44,0,1285
Columbia,16,0,1337
Coos,31,0,1185
Crook,1,0,453
Curry,6,0,284
Deschutes,116,0,4241
Douglas,25,0,2096
Gilliam,0,0,49
Grant,1,0,97
Harney,1,0,150
Hood River,12,0,908
Jackson,55,0,5875
Jefferson,25,0,711
Josephine,25,1,1813
Klamath,41,0,3065
Lake,0,0,106
Lane,66,2,8295
Lincoln,8,0,1243
Linn,112,9,3516
Malheur,28,0,552
Marion,890,25,8193
Morrow,12,0,145
Multnomah,1037,58,22590
Polk,95,10,1599
Sherman,1,0,67
Tillamook,6,0,593
Umatilla,108,3,1385
Union,6,0,319
Wallowa,1,0,97
Wasco,18,1,990
Washington,669,17,14654
Wheeler,0,0,78
Yamhill,63,7,2484
Total,3864,147,103958
